"Molecule","Slope","Intercept","R_squared","LOD","LOQ"
"DG(15:0/18:1)",0.0864380958538137,4.30579730473266,0.0150202523696703,0.078125,Inf
"DG(15:0/18:1)",-0.0338293989166199,3.95255984763309,0.00508050762011725,Inf,Inf
"DGDG(18:3/18:3)",1.76048769642169,2.79539190570064,1,Inf,Inf
"DGDG(18:3/18:3)",1.48224930370572,5.00029302940939,0.945556896870037,0.5,0.625
"DGTS(16:0/16:0)",1.08979540705695,6.88082690927423,0.998061933316471,0.078125,0.25
"GlcCer(d18:1/12:0)",1.32520375637004,6.40341892518687,0.995272134318486,0.0811,0.1622
"GlcCer(d18:1/12:0)",1.2156289657787,7.3183940068708,0.986779382619663,0.020275,0.04055
"LPA(17:1(9Z)/0:0)",1.40878519998768,7.91973559136735,0.968686065005294,0.0046875,0.009375
"18:1(d7) Lyso PC",1.10588224356579,6.8367147882148,0.998667284916898,0.078125,0.25
"LPC(18:1)",1.12560916260058,6.78765539963607,0.997581081118429,0.015625,0.015625
"18:1(d7) Lyso PC",1.09339382195731,6.85397332951315,0.998826706432179,0.125,0.3125
"LPC(17:1(9Z)/0:0)",1.10768217360916,9.70585182917603,0.995149777054232,0.00234375,0.00234375
"18:1(d7) Lyso PE",1.09986977730637,6.8396576210968,0.998720582394672,0.015625,0.015625
"LPE(18:1)",1.07044389649494,6.79119023476615,0.998353605148166,0.078125,0.3125
"18:1(d7) Lyso PE",1.09445053198661,6.97033647758172,0.998535461059116,0.015625,0.015625
"LPE(17:1(9Z)/0:0)",1.15088096382955,8.27018597826374,0.997954933316292,0.009375,0.03
"LPG(17:1(9Z)/0:0)",1.10756049423568,8.18636089757068,0.994574665688644,0.00203125,0.00203125
"LPI(17:1(9Z)/0:0)",1.06437622918147,8.13027026520213,0.993635707920061,0.00203125,0.00203125
"LPS(17:1(9Z)/0:0)",1.12388065313236,8.07195112610912,0.998997922032069,0.01015625,0.0325
"MG(18:1)",1.81785152651717,3.81408862535015,0.960135587809123,5,Inf
"MGDG(16:3/18:3)",1.14394648849192,6.70098417430365,0.993887225978102,0.125,0.25
"PA(17:0/14:1(9Z))",1.47806390379835,8.34543648447107,0.953870841858816,0.009375,0.01875
"15:0-18:1(d7) PC",1.136464076171,7.04576695554373,0.99704460982331,0.078125,0.25
"PC(15:0/18:1)",1.1323424167954,7.03773318502655,0.997912741678286,0.015625,0.015625
"15:0-18:1(d7) PC",1.13159313333003,7.0995745981012,0.998192359554591,0.078125,0.25
"PC(17:0/14:1(9Z))",0.815355902559769,8.00124725711489,0.987166616410537,0.58984375,0.58984375
"15:0-18:1(d7) PE",1.09995461309014,7.13574245136164,0.998841332572864,0.078125,0.25
"PE(15:0/18:1)",1.0905155695606,7.10329067569979,0.999199207204999,0.015625,0.015625
"15:0-18:1(d7) PE",1.10358733861594,7.27034248297941,0.999298961205454,0.078125,0.25
"PE(17:0/14:1(9Z))",1.05144989390359,8.21045211996126,0.99333549764149,0.01875,0.01875
"15:0-18:1(d7) PG",1.39247898758623,5.94496481928083,0.968085290708321,0.125,0.25
"PG(15:0/18:1)",1.1118660031928,7.16740853489348,0.999252812185959,0.078125,0.25
"15:0-18:1(d7) PG",1.39303233596167,5.95495185614432,0.966634024952051,0.078125,0.125
"PG(17:0/14:1(9Z))",1.1266077853224,8.24531006919404,0.997194056120733,0.0140625,0.0140625
"15:0-18:1(d7) PI",1.13397343001939,7.08814219413108,0.998681568328142,0.125,0.3125
"PI(15:0/18:1)",1.13491076011572,7.04743177036826,0.998737493690545,0.078125,0.25
"15:0-18:1(d7) PI",0.919341346281486,6.95771279186488,0.986194663662733,0.125,0.5
"PI(17:0/14:1(9Z))",1.12208404385737,8.14442529273192,0.99320062845466,0.03125,0.03125
"PS(15:0/18:1)",1.19481546506063,6.88955623291704,0.995809830257452,0.078125,0.25
"PS(15:0/18:1)",0.826046195343565,3.83800922544153,1,Inf,Inf
"15:0-18:1(d7) PS",1.61169878073626,4.20721977906065,0.946271516930414,1.25,2.5
"PS(17:0/14:1(9Z))",1.13625181227095,9.3874300750819,0.994752618861709,0.00203125,0.00203125
"15:0-18:1(d7) PS",1.86556404778325,5.55718573512593,0.900571989298909,0.25,0.5
"Cer(d18:1/25:0)",1.48299425191957,5.75877008883608,0.824539594974021,0.1725,0.1725
"Cer(d18:1/25:0)",1.10942827734498,7.39525051987074,0.988789494793906,0.005390625,0.005390625
"Cer(d18:1/25:0)",0.420774489753902,4.11523229466233,0.0588609016862886,Inf,Inf
"d18:1-18:1(d9) SM",1.12545282316515,6.98250620594044,0.998622730239744,0.078125,0.25
"SM(d18:1/18:1)",1.11995781015916,6.97236331548023,0.99828179577703,0.015625,0.015625
"SM(d18:1(4E)/12:0)",1.05055140657291,8.02411824216038,0.993735224369838,0.1015625,0.1015625
"d18:1-18:1(d9) SM",1.13333505766201,7.05533305503277,0.997744139746394,0.078125,0.25
"SQDG(16:0/18:3)",1.40959511212428,5.65798468856902,0.954464449086153,0.3125,0.625
"SQDG(16:0/18:3)",1.24536942885794,5.35361759302339,0.959166649994091,0.078125,0.078125
"15:0-18:1(d7)-15:0 TAG",-0.0988573579919929,3.82896260708552,0.0121276836015135,Inf,Inf
"15:0-18:1(d7)-15:0 TAG",0.229535484659145,4.34137298691272,0.279174106185036,5,Inf
"15:0-18:1(d7)-15:0 TAG",0.256880460322399,3.48792128449419,0.114404452134336,0.15625,5
"TG (15:0/18:1/15:0)",-0.401579648926041,3.41445701051642,0.218436225019093,0.0625,Inf
"TG (15:0/18:1/15:0)",-0.0307431093360085,3.560826034582,0.010238701500793,0.015625,Inf
"TG (15:0/18:1/15:0)",0.287102499896875,3.45740557681163,0.0427497044072731,1.25,Inf
