"Molecule","Precursor_Adduct","Retention_Time","Retention_Time_Std_Dev","Molecule_List","Slope","Intercept","R_squared","LOD","LOQ"
"Cholester (18:1)","[M+HCOO]",22.94,1.86,"CE",15296,7664,1,0.15625,Inf
"Cer(d18:1/12:0)","[M-H]",18,4.84,"Cer",3267453.89932393,-41815.2765783638,0.998970720675029,0.028275,0.0706875
"Cer(d18:1/12:0)","[M+HCOO]",17.53,4.78,"Cer",32952352.5211011,-516799.010316257,0.997983641186237,0.0141375,0.141375
"C15 Ceramide-d7","[M7D-H]",15.55,0.05,"Cer",2616963.24584553,-45939.6889891697,0.998316187973907,0.125,0.3125
"C15 Ceramide-d7","[M7D+HCOO]",15.56,0.07,"Cer",38741909.3764803,-1140478.10812274,0.999547799565548,0.015625,0.15625
"C15 Ceramide-d7","[M7D+HCOO]",15.52,0.03,"Cer",51053304.8037977,-2679163.45144404,0.999118685416019,0.015625,0.15625
"CerP(d18:1/12:0)","[M+HCOO]",21.27,5.44,"CerP",236185.133239832,4266.5,1,Inf,Inf
"DGDG(18:3/18:3)","[M-H]",12.02,0.01,"DGDG",2992.8,-4349,1,Inf,Inf
"DGDG(18:3/18:3)","[M+HCOO]",12.02,0.02,"DGDG",149087.409274149,-22905.0168080186,0.999050486776505,0.5,0.625
"DGTS(16:0/16:0)","[M+HCOO]",17.05,0.04,"DGTS",8197407.76777054,-314983.016787004,0.999358980622025,0.078125,0.25
"GlcCer(d18:1/12:0)","[M-H]",11.59,0.03,"Gcer",2039433.41708906,-58741.2354494136,0.995780188299345,0.0811,0.1622
"GlcCer(d18:1/12:0)","[M+HCOO]",11.59,0.03,"Gcer",16785985.815927,-253212.13537906,0.994499843230937,0.020275,0.04055
"LPA(17:1(9Z)/0:0)","[M-H]",3.43,0.32,"LPA",60177653.9497617,-1607811.48935018,0.981131529780968,0.0046875,0.009375
"18:1(d7) Lyso PC","[M7D+HCOO]",3.78,0.04,"LPC",8771390.18982916,-924992.317689529,0.992862568665811,0.078125,0.25
"LPC(18:1)","[M+HCOO]",3.82,0.05,"LPC",7867818.34007789,-857939.293682311,0.992365112693852,0.015625,0.15625
"18:1(d7) Lyso PC","[M7D+HCOO]",3.76,0.03,"LPC",9142523.91219761,-962019.88068592,0.991956865058577,0.125,0.3125
"LPC(17:1(9Z)/0:0)","[M+HCOO]",3.07,0.06,"LPC",3923588275.26998,15864147.1167872,0.99818909760086,0.00234375,0.0234375
"18:1(d7) Lyso PE","[M7D-H]",3.95,0.03,"LPE",8730909.676341,-876930.809566785,0.993744574316404,0.015625,0.15625
"LPE(18:1)","[M-H]",4,0.02,"LPE",7808047.37162512,-786276.572743682,0.992671379752383,0.078125,0.3125
"18:1(d7) Lyso PE","[M7D-H]",3.97,0.05,"LPE",11944827.970778,-1259444.43050541,0.991232458122619,0.015625,0.15625
"LPE(17:1(9Z)/0:0)","[M-H]",3.2,0.03,"LPE",160548224.643869,-1283222.78285199,0.998805128925508,0.009375,0.03
"LPG(17:1(9Z)/0:0)","[M-H]",2.71,0.04,"LPG",170745026.312988,-2824439.21714801,0.986711031569397,0.00203125,0.0203125
"LPI(17:1(9Z)/0:0)","[M-H]",2.56,0.14,"LPI",141571353.260665,-1438095.15848375,0.991143137334445,0.00203125,0.0203125
"LPS(17:1(9Z)/0:0)","[M-H]",2.58,0.04,"LPS",117973033.468656,-1632096.70469314,0.991923399314983,0.01015625,0.0325
