SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
3634,MGDG(16:3_18:3)+NH4,18:3+75.04_13C1,R2OCCC=O_13C1,ISO,2,10,336.2615033,7340.456543,336.2614265,0.22845828,11.543999,
3634,MGDG(16:3_18:3)+NH4,18:3+75.04_13C2,R2OCCC=O_13C2,ISO,2,11,337.2649518,7819.55127,337.2647815,0.505101142,11.543999,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
3974,Cer(d18:1_12:0)+H,d18:1+44.05,SPH(R1)+H-H2O-CH2O,C01,2,7,252.2683553,267745.7079,252.2685755,-0.872690413,12.827961,
3974,Cer(d18:1_12:0)+H,d18:1+44.05,SPH(R1)+NH4-H2O-CH2O,C01,2,7,252.2683553,267745.7079,252.2685755,-0.872690413,12.827961,
3974,Cer(d18:1_12:0)+H,NL[12:0+36.02],SPH(R1)+H-2H2O,C01,2,8,264.2681226,2299502.945,264.2685755,-1.713766482,12.827961,
3974,Cer(d18:1_12:0)+H,NL[12:0+36.02],SPH(R1)+NH4-2H2O,C01,2,8,264.2681226,2299502.945,264.2685755,-1.713766482,12.827961,
3974,Cer(d18:1_12:0)+H,NL[12:0+18.01],SPH(R1)+H-H2O,C01,2,9,282.278803,311944.3789,282.2791405,-1.195480534,12.827961,
3974,Cer(d18:1_12:0)+H,NL[12:0+18.01],SPH(R1)+NH4-H2O,C01,2,9,282.278803,311944.3789,282.2791405,-1.195480534,12.827961,
4111,Cer(d18:1_12:0)+H,d18:1+44.05,SPH(R1)+H-H2O-CH2O,C01,2,27,252.2683553,66790.78125,252.2685755,-0.872690413,12.827951,
4111,Cer(d18:1_12:0)+H,d18:1+44.05,SPH(R1)+NH4-H2O-CH2O,C01,2,27,252.2683553,66790.78125,252.2685755,-0.872690413,12.827951,
4111,Cer(d18:1_12:0)+H,NL[12:0+36.02],SPH(R1)+H-2H2O,C01,2,28,264.2681226,573624.875,264.2685755,-1.713766482,12.827951,
