Molecule List,Molecule,Mean Best Retention Time,Stdev Best Retention Time,Cv Best Retention Time,Mean Total Area,Stdev Total Area,Cv Total Area,Precursor Mz,Precursor Adduct,9- Sum Total Area,11- Sum Total Area,13- Sum Total Area,15- Sum Total Area,18- Sum Total Area,20- Sum Total Area,22- Sum Total Area,24- Sum Total Area,26 Sum Total Area
PG,PG(O-30:5_18:2),20.86,0.02,0.10%,2354416,516485,21.90%,919.678648,[M+H],2004964,2142287,1555063,2134589,2494195,2972216,2185770,2427165,3273493
DG,DG(O-4:0_12:1),2.08,0.02,1.10%,36963865,8208073,22.20%,351.25058,[M+Na],41705184,36140692,33684412,42846768,39887452,34499924,18092502,39099436,46718416
MePC,MePC(28:4),14.6,0.02,0.10%,15137540,3353335,22.20%,685.467706,[M+H],17780260,16768503,16309960,15530802,15538805,16919262,11997092,17876894,7516282
DG,DG(P-13:1_16:1),14.55,0.02,0.10%,9825505,2199344,22.40%,529.422731,[M+Na],11463885,6413950,11771500,7703721,8609882,9417398,9839438,9591414,13618360
PC,PC(24:4_13:0),16.82,0.02,0.10%,54904629,12404987,22.60%,796.585082,[M+H],43940996,52388280,47387128,47765240,44679220,55063400,#N/A,71905104,76107664
PC,PC(32:1),17.52,0.02,0.10%,41666977,9462824,22.70%,732.553782,[M+H],47145760,40214736,45331848,41824668,18050542,42487284,42063384,50724404,47160164
TG,TG(O-18:3_20:6),14.62,0.03,0.20%,13489417,3070686,22.80%,635.467001,[M+H],15082875,12472299,16170238,6968058,12854084,16203232,12576982,16919902,12157080
Cer,Cer(d18:0_17:0)+O:(s),16.17,0.02,0.10%,19214011,4436959,23.10%,570.545586,[M+H],11246351,21933388,12749830,20991434,18131334,20245974,24309702,20790194,22527896
TG,TG(26:0_6:0)+OO:(s),1.86,0.02,0.90%,19595534,4555908,23.20%,637.46499,[M+Na],20691394,18499084,18630258,19145666,10269061,26688572,18421096,24477758,19536918
TG,TG(16:0_18:1_20:5),22.89,0.02,0.10%,171366605,39699492,23.20%,896.770167,[M+NH4],171136304,163605504,178254672,196776544,180486256,110018464,234211040,112378104,195432560
PA,PA(O-18:1_15:1),14.6,0.01,0.10%,67827274,15712674,23.20%,662.511917,[M+NH4],66949100,27223562,73780232,71188512,69854608,76858304,72945384,80250776,71394992
TG,TG(30:0),12.5,0.02,0.20%,6895469,1615277,23.40%,572.488466,[M+NH4],7538115,6800888,7692783,4096344,4764018,7374792,7719184,9437397,6635701
TG,TG(33:2_7:0)+O:(s),14.95,0.03,0.20%,5999118,1402021,23.40%,724.608581,[M+NH4],7346409,6115707,3790781,6795550,5208337,3902763,7563040,6398579,6870894
TG,TG(16:1_16:1_16:2),22.2,0.02,0.10%,58283415,13769009,23.60%,816.707566,[M+NH4],48866724,44752388,53169328,51795944,48002424,51786336,79603456,65412848,81161288
PC,PC(18:1_18:2),15.38,0.01,0.10%,911741575,216148587,23.70%,784.585082,[M+H],615974912,1007599808,698503040,1113862656,1026477504,672048896,1131526784,789426880,1150253696
PI,PI(16:0_16:0),14.46,0.02,0.10%,5853089,1385249,23.70%,828.559656,[M+NH4],3983472,7171915,5320497,5516549,5469505,8007088,4386098,7449956,5372723
PC,PC(13:0_16:1),14.13,0.02,0.10%,56998648,13569620,23.80%,690.506832,[M+H],38193272,44674700,51251148,58620424,45305444,57012604,67981696,78735000,71213544
TG,TG(16:1_16:1_16:1)+OO:(s),19.01,0.02,0.10%,6146739,1461742,23.80%,850.713046,[M+NH4],5428205,4201181,5953403,#N/A,7325003,7825902,#N/A,#N/A,#N/A
DG,DG(24:0),7.9,0.02,0.30%,3508128,836185,23.80%,474.415301,[M+NH4],3597352,3022196,3838644,3320032,1570237,3900301,3785246,4441795,4097351
DG,DG(16:0_20:4),17.36,0.01,0.10%,25617553,6153371,24%,634.540501,[M+NH4],24877030,30819378,26059402,21614548,36425684,28727088,24214766,14401659,23418422
DG,DG(O-21:2),5.61,0.01,0.30%,18160692,4368927,24.10%,397.331236,[M+H],18676836,18374252,23083838,17442270,7620373,17809292,21551976,18543730,20343662
MG,MG(O-21:2),6.7,0.01,0.20%,22264152,5365229,24.10%,383.351972,[M+H],21708196,19064778,24524504,22629320,9699329,26098448,23083110,27219178,26350504
Cer,Cer(d19:0_19:0)+2O:(s),16.85,0.02,0.10%,10428336,2513084,24.10%,628.587451,[M+H],10169030,11590718,11851100,3886523,11528491,10709120,11027904,11282022,11810118
TG,TG(19:0_15:2),13.64,0.01,0.10%,131218723,31809151,24.20%,607.493216,[M+H],93659408,120112000,96875160,138461504,96535568,177949936,156313312,167356352,133705264
Cer,Cer(d18:1_22:0),20.11,0.02,0.10%,8220827,1988908,24.20%,622.613272,[M+H],6963044,10107602,5326217,5130235,8403289,8349966,10067541,9818414,9821131
MGDG,MGDG(20:4_20:4),14.46,0.03,0.20%,5346786,1293807,24.20%,849.54872,[M+Na],5531209,6021817,2328890,6212202,5777930,5550008,5939499,6489829,4269695
DG,DG(O-16:3_16:1),15.37,0.02,0.10%,23524307,5720562,24.30%,564.498636,[M+NH4],24555840,17632136,25504070,23789664,23930092,11484840,26775372,30735776,27310974
MG,MG(O-23:4),7.02,0.02,0.30%,16051149,3906081,24.30%,407.351972,[M+H],18467394,14881867,18826640,15683461,17707002,19055308,16659450,7128066,#N/A
LPC,LPC(P-18:0),4.39,0.02,0.50%,5349271,1298013,24.30%,508.376152,[M+H],3913109,5265975,2931573,5608498,5875275,5107423,6045482,5977492,7418617
PG,PG(O-15:1_21:6),16.09,0.02,0.10%,27566267,6723516,24.40%,751.490847,[M+H],25266250,23517858,35717120,35514384,29498918,13499317,30379404,26744710,27958438
PG,PG(17:3_18:1),14.72,0.02,0.20%,8390835,2046905,24.40%,774.527961,[M+NH4],7658883,9410046,3583155,10241659,8673596,7527526,9673796,8667836,10081017
PI,PI(33:0),14.8,0.02,0.10%,9428677,2319245,24.60%,825.548756,[M+H],6536980,12710772,9045474,9850851,8218744,5757826,10930835,9896477,11910134
DGDG,DGDG(19:1_19:2),17.15,0.02,0.10%,6660689,1644521,24.70%,988.693098,[M+NH4],7207520,2501198,7802056,5886707,7220696,7387495,7406742,7262829,7270960
PG,PG(O-26:0_16:2),21.61,0.02,0.10%,8265621,2057837,24.90%,845.662998,[M+H],8344546,7369150,3728422,8605010,8007590,7818880,9516654,11023935,9976399
TG,TG(16:0_16:0_16:0),24.83,0.03,0.10%,6681256,1665525,24.90%,829.725562,[M+Na],7035171,7728955,2850531,5871232,6540059,7174962,8218861,8380563,6330974
WE,WE(O-27:4),9.79,0.03,0.30%,6670210,1664084,24.90%,425.339002,[M+Na],5897879,7795915,9611560,6283929,3609042,5938634,7782264,6956584,6156082
TG,TG(27:2_16:1)+O:(s),18.68,0.02,0.10%,26595505,6688887,25.20%,764.639881,[M+NH4],19896668,15641662,24920392,32538090,24943944,23706198,33921220,36020160,27771214
PE,PE(O-15:0_15:0),15.58,0.02,0.10%,87674065,22151490,25.30%,650.511917,[M+H],98639712,36052520,110270816,87734088,90667248,74703344,89315496,108024880,93658480
TG,TG(20:4_18:1_18:1),24.66,0.02,0.10%,12593249,3191463,25.30%,907.774917,[M+H],12283775,13555390,4987583,11497448,12953581,12864404,14723633,14075388,16398039
DG,DG(O-12:1_21:1),16.28,0.02,0.10%,20627590,5225307,25.30%,582.545586,[M+NH4],12986757,20816204,28497780,22225622,21233612,12911447,18091034,24623682,24262170
DG,DG(O-12:1_22:1),17,0.02,0.10%,16207176,4095507,25.30%,596.561237,[M+NH4],16069736,15455384,15666808,7732199,22651598,14639816,15970122,20177908,17501010
PEt,PEt(5:0_21:3),6.63,0.01,0.20%,4867870,1236125,25.40%,593.378911,[M+Li],4318880,3658197,5493368,3597351,3945654,7273465,4399232,6124612,5000071
MGDG,MGDG(15:1_23:3),16.12,0.02,0.10%,40655169,10343870,25.40%,829.58002,[M+Na],41662256,40388348,44964484,42527664,41395696,14131537,45089000,49453220,46284312
PC,PC(21:0_17:0),19.3,0.03,0.20%,11221348,2860874,25.50%,818.663332,[M+H],5140893,12543569,9578043,12038087,11864930,14502962,9043456,13363125,12917063
PC,PC(18:0_20:3),17.16,0.02,0.10%,687315300,178979449,26%,812.616382,[M+H],466410848,782669056,492802848,824891648,815729024,521013952,852556480,529618624,900145216
DG,DG(16:0_9:0),7.86,0.02,0.30%,2338117,607430,26%,488.430951,[M+NH4],1948562,1239497,2694714,2260389,1866717,2362787,3198508,3036129,2435747
PC,PC(18:2_16:0),15.46,0.03,0.20%,7244608,1889347,26.10%,780.551377,[M+Na],#N/A,5908639,#N/A,#N/A,#N/A,8580578,#N/A,#N/A,#N/A
MG,MG(O-24:3),10.42,0.02,0.20%,12361168,3222975,26.10%,423.383272,[M+H],8137056,7235872,12562470,12914003,10859958,14930241,15121141,17069450,12420323
WE,WE(O-22:0),7.84,0.01,0.20%,6150797,1602874,26.10%,363.323352,[M+Na],7364817,4522439,9334611,5140399,3894209,6420360,6442318,6022025,6216000
PC,PC(37:4),15.58,0.01,0.10%,41775791,10954934,26.20%,796.585082,[M+H],15990113,45183448,42872940,41170012,47531712,38077432,52043744,40073552,53039168
PC,PC(18:3_18:0),15.67,0.01,0%,1751148316,462359451,26.40%,784.585082,[M+H],1142988672,2149669888,1203355136,2164334592,2040301440,1340422912,2103411968,1403023616,2212826624
PC,PC(O-38:4),17.49,0.01,0.10%,96393132,25519425,26.50%,796.621467,[M+H],60849160,113030136,70382776,115878856,114894384,68451424,122945496,81176952,119929000
MG,MG(O-29:3),14.11,0.02,0.20%,14588900,3859335,26.50%,510.488072,[M+NH4],15629959,4840768,15913099,13003200,16142499,17047758,15079684,17053696,16589440
PC,PC(30:1),14.74,0.1,0.70%,34116407,9070816,26.60%,704.522482,[M+H],25349170,28717422,32902302,46637664,25889782,33070736,29975042,32881388,51624156
PC,PC(O-5:0_13:0),4.96,0.02,0.30%,18786732,5021343,26.70%,524.371066,[M+H],12049294,23047500,13022653,22873698,18183396,14324216,23407064,16841762,25331004
SM,SM(t40:4),16.07,0.04,0.20%,4254192,1134688,26.70%,797.616716,[M+H],2556301,3944834,3092029,6209400,4781829,3536738,5200318,4061825,4904455
PA,PA(O-33:0),17.69,0.02,0.10%,5311881,1417110,26.70%,671.498613,[M+Na],5267922,6149704,1840165,6671648,5843800,4698402,5517978,5757178,6060130
LPC,LPC(P-18:2),3.28,0.03,0.80%,5691299,1527195,26.80%,504.344852,[M+H],5002556,6537319,2144934,6763313,6590269,5687545,6279804,5049480,7166471
Hex1Cer,Hex1Cer(d16:2_19:1)+O:(s),13.61,0.03,0.20%,13249990,3568429,26.90%,726.551459,[M+H],9660735,13354120,14919921,13831354,13793319,16573984,13762119,17563406,5790950
Cer,Cer(d18:1_24:0),21.16,0.02,0.10%,7612432,2048306,26.90%,650.644572,[M+H],7005501,9528331,3918969,8986268,9973109,7259163,6060800,6196179,9583571
LPC,LPC(30:1),14.2,0.02,0.10%,38942285,10541495,27.10%,690.543217,[M+H],25352002,34342108,22208770,37947036,37121048,51537244,43137260,50665836,48169264
PE,PE(38:5),16.68,0.02,0.10%,50292469,13684185,27.20%,766.538132,[M+H],52788460,54037876,16820608,#N/A,52340700,57813808,55653668,58027488,54857140
PI,PI(P-27:8_14:1),2.02,0.02,0.80%,23847058,6489426,27.20%,920.564741,[M+NH4],12023191,20754874,18046852,29579580,28642032,19486942,29859546,26320224,29910280
DG,DG(O-14:1_21:4),16.26,0.01,0.10%,8313631,2267103,27.30%,604.529936,[M+NH4],9048661,6020980,5096682,10450524,7694406,9574114,10727315,5602872,10607124
PG,PG(19:3_16:0),14.07,0.03,0.20%,3807484,1042213,27.40%,759.517062,[M+H],4611647,3442889,1759590,4762445,3288147,3126128,4378128,5127816,3770572
Cer,Cer(d14:1_18:0),17.14,0.02,0.10%,7388013,2020947,27.40%,510.488071,[M+H],5674851,6823577,7243275,10496472,8068364,6197501,7888176,4102248,9997655
MGDG,MGDG(19:1_19:1),18.75,0.01,0.10%,36993057,10122325,27.40%,828.655925,[M+NH4],29990498,30313554,38737636,30949886,33933408,35792472,34343084,36043076,62833896
PC,PC(18:0_16:0),17.71,0.02,0.10%,45064243,12452874,27.60%,762.600732,[M+H],44382904,55013848,34456200,39335564,59531668,49876012,52151804,19184256,51645932
TG,TG(18:0_18:1_18:1),25.54,0.02,0.10%,51897947,14386420,27.70%,904.832767,[M+NH4],58312872,58084816,14304150,60606740,56647324,51625064,58136608,52431008,56932944
PE,PE(22:3_15:0),18.13,0.02,0.10%,10425670,2902714,27.80%,756.553782,[M+H],5865008,11616867,9170383,11615571,5789035,12506989,11850594,14107289,11309299
TG,TG(O-12:1_6:0_19:1),14.93,0.02,0.20%,2889112,803511,27.80%,652.587451,[M+NH4],2683052,2097116,2312950,2914962,2004541,2473353,3929025,4288527,3298486
Cer,Cer(d18:1_24:1)+2O:(s),14.33,0.03,0.20%,4316500,1205909,27.90%,680.618751,[M+H],2830615,4110306,3058066,5188680,2778858,5674521,5853790,4354722,4998940
PC,PC(O-22:7_16:0),14.71,0.03,0.20%,8481228,2395248,28.20%,812.556462,[M+Na],10198067,7019468,11236305,7072195,10689082,3670128,10049680,8743906,7652225
TG,TG(8:0_16:1_16:1)+O:(s),18.15,0.03,0.10%,12360420,3516261,28.40%,724.608581,[M+NH4],12203242,3844140,11412842,12901781,12315094,15241893,13436350,13859000,16029440
TG,TG(15:1_2:0_20:4),17.31,0.02,0.10%,14016662,3982556,28.40%,660.519766,[M+NH4],9957944,10015475,14118856,16451846,9435358,11295791,18428484,16607727,19838476
