Molecule List,Molecule,Mean Best Retention Time,Stdev Best Retention Time,Cv Best Retention Time,Mean Total Area,Stdev Total Area,Cv Total Area,Precursor Mz,Precursor Adduct,9- Sum Total Area,11- Sum Total Area,13- Sum Total Area,15- Sum Total Area,18- Sum Total Area,20- Sum Total Area,22- Sum Total Area,24- Sum Total Area,26 Sum Total Area
MGDG,MGDG(15:0_19:0),17.69,0.03,0.20%,11379766,3529937,31%,781.58002,[M+Na],4059102,13023612,12952198,11004143,9663660,14556801,8915845,15942599,12299930
BisMePA,BisMePA(15:1_16:0),15.58,0.03,0.20%,84398520,26177229,31%,678.506832,[M+NH4],44953756,92448864,113969264,90420984,40112104,99896616,82584168,111693544,83507384
PC,PC(20:4_18:0),16.59,0.01,0%,2060745031,640820760,31.10%,810.600732,[M+H],1292802048,2424136192,1352477568,2564564480,2482774016,1452539648,2699755264,1490988032,2786668032
LPC,LPC(O-16:2),3.06,0.01,0.40%,10434569,3242832,31.10%,478.329201,[M+H],5857196,12898359,7215012,13067210,12152973,8087713,12922551,7333377,14376729
DGDG,DGDG(15:0_17:0),15.47,0.02,0.10%,16929023,5268266,31.10%,910.646148,[M+NH4],3329625,17059828,17686382,18776068,18661494,17683378,17865826,21342854,19955750
PC,PC(15:1_16:1),14.84,0.02,0.10%,45688628,14241326,31.20%,716.522482,[M+H],50964104,58530988,28919020,25846774,49883032,28219422,50456844,54453784,63923680
Cer,Cer(d18:1_16:0),16.2,0.01,0.10%,22739972,7087502,31.20%,520.508807,[M+H-H2O],18360322,21328380,21764902,40279884,16552163,23332730,25048708,18786648,19206012
TG,TG(15:0_4:0_4:0),4.05,0.02,0.50%,17907877,5637072,31.50%,474.378915,[M+NH4],18414612,17368422,4117201,19832448,18794330,24121736,17847346,22407604,18267190
TG,TG(18:1_18:1_18:1),24.67,0.01,0%,284812401,89704026,31.50%,902.817117,[M+NH4],311386816,63703176,309401248,328460160,315260416,#N/A,321277568,304445632,324564192
SM,SM(d18:2_16:0),13.07,0.01,0.10%,69109165,21878776,31.70%,701.559201,[M+H],42820172,81220456,46614568,84849320,82476888,44642124,91438920,52572156,95347880
PC,PC(O-40:4),18.12,0.02,0.10%,9056774,2877058,31.80%,824.652768,[M+H],7286822,7608656,6002519,15038279,9258867,7846564,6989856,12229831,9249574
PC,PC(14:1_14:0),13.67,0.04,0.30%,2392449,766519,32%,676.491181,[M+H],2299446,3070132,962887,2167641,2578988,3352891,#N/A,#N/A,2315160
PC,PC(O-23:1_21:4),19.82,0.02,0.10%,21811778,6976437,32%,878.699718,[M+H],14341750,27238170,14044213,29055116,25585158,15412936,28978404,14389827,27260432
TG,TG(20:2_16:3),17.98,0.01,0.10%,27514387,8873343,32.20%,629.477566,[M+H],27301742,29241186,6065334,32149178,31869928,28969434,#N/A,31774452,32743840
TG,TG(15:0_18:1_18:1),24.28,0.08,0.30%,12243263,3960098,32.30%,862.785817,[M+NH4],13056217,13752176,#N/A,#N/A,15632818,6531843,#N/A,#N/A,#N/A
PC,PC(22:7_18:0),16.58,0.02,0.10%,156365695,50836830,32.50%,832.585082,[M+H],99138568,175584304,99894168,199386896,194607744,103885432,208358256,113332352,213103536
Cer,Cer(d18:1_17:0),16.65,0.02,0.10%,17271451,5616167,32.50%,534.524457,[M+H-H2O],12280226,18790012,14907052,25325886,23598460,6923972,18606686,15823966,19186798
PG,PG(18:1_16:1),14.06,0.01,0.10%,25869326,8432422,32.60%,764.543611,[M+NH4],19936122,18284036,22955680,20345878,39927344,40116048,27049270,23945388,20264164
LPC,LPC(P-16:1),3.06,0.01,0.40%,10327900,3364365,32.60%,478.329201,[M+H],5857196,12898359,7215012,13067210,12260004,7020658,12922551,7333377,14376729
MGDG,MGDG(15:0_15:0),15.12,0.01,0.10%,45855529,14953843,32.60%,725.51742,[M+Na],53083892,8096158,48906240,48569564,44702576,52818604,48968128,61167712,46386888
PC,PC(40:4),17.49,0.02,0.10%,59142016,19383430,32.80%,838.632032,[M+H],35582800,76563352,39940892,73746408,71483736,37750368,77361504,42287464,77561616
SM,SM(d42:2),18.87,0.01,0.10%,167599440,55038876,32.80%,813.684402,[M+H],109649440,134638656,124104176,232547920,224963216,117192808,217717456,122509288,225072000
PC,PC(O-44:6),18.84,0.01,0.10%,15216512,5002296,32.90%,876.684068,[M+H],9513549,18562604,9722268,17753870,18881660,10287397,20199300,10722047,21305912
TG,TG(16:0_18:1_18:3),23.51,0.03,0.10%,232791886,77126275,33.10%,872.770167,[M+NH4],260639920,269942528,218972128,276828160,276323744,38811980,272377664,208295456,272935392
PC,PC(16:0_20:4),15.06,0.01,0.10%,2834199396,939709743,33.20%,782.569432,[M+H],1686048512,3386505728,1846971008,3478290944,3515108864,1908052992,3834212096,2000750336,3851854080
TG,TG(22:2_16:0)+O:(s),17.56,0.03,0.20%,23532208,7828606,33.30%,696.577281,[M+NH4],21921888,14533281,31691022,23642848,22356522,11314990,24200644,37212056,24916620
DG,DG(P-26:5),5.98,0.02,0.30%,3242439,1080236,33.30%,476.373436,[M+NH4],3470058,4010544,2791237,2461827,932642,4351508,3353814,3444435,4365887
DG,DG(O-26:6),5.98,0.02,0.40%,3342432,1115858,33.40%,476.373436,[M+NH4],3470058,4010544,2791237,2339675,1072197,4351508,3353814,4326971,4365887
TG,TG(38:9_15:2)+OO:(s),17.69,0.02,0.10%,4907100,1641646,33.50%,904.666096,[M+NH4],4979761,5354093,692782,5485381,5182225,5969441,5561756,6174649,4763815
SM,SM(d42:3),17.85,0.02,0.10%,175558092,58863814,33.50%,811.668752,[M+H],110585504,216379136,116933584,226523232,217231984,120960024,231159136,107159480,233090752
Cer,Cer(d34:1)+O:(s),15.55,0.02,0.20%,9203234,3080784,33.50%,554.514286,[M+H],1488504,11369174,10987466,9401631,10758684,9035581,8504488,11485587,9797992
Cer,Cer(d14:2_20:2),16.55,0.03,0.20%,16457512,5517880,33.50%,532.472421,[M+H],18600644,11834576,14152316,13444185,5791183,20065234,20035386,22200196,21993892
MGDG,MGDG(18:1_18:1),17.31,0.02,0.10%,45392741,15207833,33.50%,805.58002,[M+Na],11884688,55266932,45531964,56592756,42217624,36729044,47787028,65677932,46846704
PE,PE(17:0_16:1),15.63,0.05,0.30%,129283334,43624336,33.70%,704.522482,[M+H],111519408,106711472,84892696,195895584,69232568,135649296,149843568,191026432,118778984
Cer,Cer(d18:1_16:1),15.55,0.02,0.10%,17855935,6038325,33.80%,536.503721,[M+H],20912760,18260874,20078346,17132202,2680049,20523402,18678420,24047500,18389858
PI,PI(31:0),13.93,0.02,0.10%,3623989,1230028,33.90%,814.544005,[M+NH4],2635881,5218352,4351663,4217947,2273752,2484471,5501215,2656140,3276480
PC,PC(16:1_18:1),17.2,0.1,0.60%,45885642,15610308,34%,758.569432,[M+H],55476228,43693992,61864964,53432992,40041868,45004884,8274150,51919864,53261836
PE,PE(16:0_15:0),15.28,0.03,0.20%,32561437,11077194,34%,678.506832,[M+H],32664840,59031720,28383552,36752292,18744070,28196608,27835476,32573870,28870502
DG,DG(18:0_20:4),18.66,0.02,0.10%,7405158,2520223,34%,662.571801,[M+NH4],6109879,8244414,6957567,9833339,8505661,1796271,10273665,6617827,8307800
MePC,MePC(37:0),15.24,0.03,0.20%,6280431,2138027,34%,819.671157,[M+H],6870658,5930546,2346634,#N/A,5227967,6674550,7844248,9068418,#N/A
MG,MG(O-22:3),8.12,0.02,0.20%,8003479,2730868,34.10%,395.351972,[M+H],8971147,6922596,1401860,8841624,6933193,9529076,9805201,9848447,9778167
TG,TG(23:2_18:1)+O:(s),15.62,0.02,0.20%,39700714,13646037,34.40%,736.608581,[M+NH4],26651954,48022788,40669516,42725684,21517160,20819578,45168288,55391548,56339912
TG,TG(22:1_15:0)+OO:(s),17.5,0.02,0.10%,10453123,3607389,34.50%,705.52759,[M+Na],6123085,8116594,11062626,9499840,4943590,11677846,13183271,15882121,13589132
PI,PI(20:4_18:0),15.4,0.03,0.20%,33646994,11666895,34.70%,904.590956,[M+NH4],19708794,42395800,20282410,42350084,42292752,22592312,44441112,23216992,45542688
PC,PC(19:1_14:1),13.99,0.02,0.20%,157540649,54787720,34.80%,744.553782,[M+H],161791616,101158064,79902448,176818880,82839760,206070000,190926832,213309856,205048384
DGDG,DGDG(15:0_16:0),14.81,0.03,0.20%,12679113,4409455,34.80%,896.630498,[M+NH4],3277192,14200597,8250443,12041027,17400524,13455958,14557642,14265096,16663534
MGDG,MGDG(19:0_20:0),20.02,0.02,0.10%,1832179,644007,35.10%,846.702875,[M+NH4],1793034,1071882,1525709,1697314,2327834,797848,2802270,2382017,2091708
PC,PC(O-34:2),16.29,0.02,0.10%,113775236,40056386,35.20%,744.590167,[M+H],78080992,107848200,62354332,147043232,139786192,63738912,155698560,103396768,166029936
DG,DG(5:0_22:1),10.26,0.02,0.20%,3209434,1147679,35.80%,514.446601,[M+NH4],1169778,3559130,2362934,3571964,1764637,4095977,4226196,4186146,3948141
TG,TG(16:1_16:1_18:3),22.07,0.01,0%,175291468,63273131,36.10%,842.723217,[M+NH4],#N/A,#N/A,#N/A,196276800,#N/A,188794880,231507984,#N/A,84586208
Cer,Cer(d18:0_16:0),16.49,0.03,0.20%,7039532,2547370,36.20%,540.535021,[M+H],9099747,4355705,9159146,9141259,5163387,2771286,6456943,10117755,7090563
PG,PG(17:0_18:1),15.86,0.02,0.10%,22803231,8272574,36.30%,780.574912,[M+NH4],27162460,8664379,28481406,25438908,8672470,24166406,25030512,31131670,26480872
PG,PG(O-28:1_18:3),21.76,0.02,0.10%,8576393,3125933,36.40%,897.694298,[M+H],10494454,4475697,7616827,8668308,2851747,9149032,11942940,11552126,10436404
TG,TG(20:1_23:7)+O:(s),16.19,0.01,0.10%,73197526,26669647,36.40%,754.56163,[M+NH4],41335080,80009840,25600480,87396552,71043768,97009920,81548048,101636520,#N/A
PC,PC(O-25:4_13:0),17.02,0.01,0.10%,23963032,8735180,36.50%,796.621467,[M+H],17428968,24315578,9544813,33201700,32505634,16104109,33460240,19616594,29489648
PC,PC(39:5),15.59,0.02,0.10%,3569397,1302884,36.50%,822.600732,[M+H],2294110,4548732,2827940,2642334,2068449,3870549,6098904,3320213,4453349
TG,TG(P-12:1_6:0_18:2),16.62,0.02,0.10%,284297266,104090558,36.60%,634.540501,[M+NH4],285985184,10639715,318408704,312034080,301332896,333756960,320281184,341978240,334258432
PG,PG(31:0),13.98,0.02,0.20%,7446258,2736255,36.70%,726.527961,[M+NH4],2195006,9955369,6252432,8089351,7366515,11103806,#N/A,6024157,8583430
TG,TG(12:1_16:1_16:1)+O:(s),19.09,0.03,0.10%,13952076,5117192,36.70%,778.655531,[M+NH4],10109829,9831986,13868544,12954243,10988206,11338924,14726732,15188521,26561700
Cer,Cer(d18:0_18:0)+2O:(s),16.41,0.02,0.10%,11345231,4185600,36.90%,600.556151,[M+H],1082387,12215916,13423095,12851651,9554815,15650198,11785546,13632278,11911195
MGDG,MGDG(15:0_16:0),15.95,0.02,0.10%,10921641,4034823,36.90%,739.53307,[M+Na],9071382,11526307,20629228,8832916,9775895,11325050,6500874,8570371,12062748
TG,TG(23:2_6:0_6:0),6.05,0.02,0.40%,2055192,759801,37%,638.535416,[M+NH4],2341450,2147717,2380804,1980273,2332806,108089,2404997,2706409,2094181
PI,PI(20:4_16:0),13.82,0.01,0.10%,3954424,1465913,37.10%,876.559656,[M+NH4],576583,4931824,3417117,5112953,4640205,3259201,4494849,3813543,5343544
MePC,MePC(27:1),10.04,0.03,0.30%,4788924,1775729,37.10%,677.499007,[M+H],1618981,3123963,4349147,6556317,5368610,5020486,5389929,7588946,4083936
PC,PC(38:8),14.05,0.03,0.20%,10823827,4030005,37.20%,802.538132,[M+H],7201609,12755670,6450561,14024683,13110614,4822806,15050433,8694796,15303275
PS,PS(18:2_16:0),14.1,0.02,0.10%,8330535,3096339,37.20%,760.512311,[M+H],8667871,9778926,1101565,9372719,8301275,5997005,10164294,10494800,11096363
PC,PC(38:4),16.1,0.01,0.10%,97743001,36583292,37.40%,810.600732,[M+H],63063328,79009352,55099488,132947752,122744608,79068136,123200792,67272144,157281408
MG,MG(O-25:8),7.64,0.01,0.20%,3639667,1359849,37.40%,427.320671,[M+H],1847377,3499388,5037703,4042428,2919480,1466106,5023249,3775256,5146019
DG,DG(O-12:0_15:2),12.95,0.02,0.20%,3484430,1307755,37.50%,498.451686,[M+NH4],2348050,2414512,4228208,5503037,2968024,1347496,4525720,4279560,3745266
CL,CL(15:0_15:0_15:0_15:0),21.66,0.03,0.10%,3026245,1144450,37.80%,1319.898848,[M+Na],3738206,1571933,804875,2673898,3365818,3911100,3554453,4254141,3361779
MGDG,MGDG(15:0_17:0),16.61,0.03,0.20%,18949056,7158442,37.80%,753.54872,[M+Na],24544066,11052402,3558869,22940516,18289978,22379038,20421418,25162530,22192690
TG,TG(18:1_15:2)+O:(s),14.25,0.03,0.20%,10844236,4133347,38.10%,607.456831,[M+H],7838241,6996630,4072523,11409692,12151057,15117086,9114155,16251816,14646923
TG,TG(18:3_18:3_18:3),21.32,0.03,0.20%,156934989,59911478,38.20%,890.723217,[M+NH4],105984384,#N/A,#N/A,182586304,146374960,246799088,#N/A,#N/A,102930208
TG,TG(29:5_2:0_6:0),17.67,0.05,0.30%,11882206,4553374,38.30%,660.519766,[M+NH4],6383677,7086464,16211642,16176934,#N/A,18079584,12614903,8269150,10235297
TG,TG(36:2_16:0)+O:(s),22.76,0.02,0.10%,9265639,3547412,38.30%,892.796382,[M+NH4],9429098,11788022,144273,11283955,9660350,10155831,11338872,9019407,10570945
TG,TG(25:6_29:7)+OO:(s),1.85,0.03,1.80%,12238449,4686824,38.30%,914.650446,[M+NH4],22455926,14775878,13660202,14055104,9181026,10335816,6868473,10337594,8476023
PG,PG(32:2),12.44,0.02,0.10%,2401421,922678,38.40%,741.467706,[M+Na],2611533,2528039,3409068,3422939,3235810,564143,1947854,1963870,1929535
TG,TG(O-33:7_18:0),24.03,0.02,0.10%,6145355,2360338,38.40%,843.683697,[M+Na],6741377,7834435,1861806,5524538,5707146,3117376,8059843,7559011,8902662
Cer,Cer(d16:0_23:1),18.76,0.02,0.10%,13026341,5021319,38.50%,608.597622,[M+H],10816774,14952175,8436393,16614893,2097427,15963369,15904303,15142140,17309592
PC,PC(O-20:4_18:1),16.67,0.16,1%,30940687,11939829,38.60%,794.605817,[M+H],26745362,12719293,29634852,55432644,28839082,21469218,40595048,32322320,30708368
TG,TG(26:2_16:1)+O:(s),18.19,0.03,0.20%,2224668,857786,38.60%,750.624231,[M+NH4],2714015,3359120,2489311,1521145,2555094,736911,#N/A,2197083,#N/A
TG,TG(32:1_16:1)+O:(s),20.31,0.02,0.10%,39689710,15405120,38.80%,841.689176,[M+Na],41964292,39812728,1225492,36174048,44685208,49573388,41905068,54181476,47685688
PE,PE(32:4),13.67,0.02,0.10%,19601983,7645078,39%,684.459881,[M+H],24611108,18908486,22459362,22301,20940520,20117620,23901042,25007376,20450028
BisMePA,BisMePA(32:5),13.67,0.02,0.10%,19601983,7645078,39%,684.459882,[M+NH4],24611108,18908486,22459362,22301,20940520,20117620,23901042,25007376,20450028
PE,PE(15:0_17:0),16.08,0.01,0.10%,110588694,43315464,39.20%,692.522482,[M+H],162290448,57180364,142158416,117877632,63708320,50210264,111056160,136292864,154523776
AcHexSiE,AcHexSiE (16:0),21.3,0.01,0.10%,14212680,5586891,39.30%,832.702481,[M+NH4],16789034,17528626,841598,14275965,17435574,13707547,#N/A,17005346,16117751
PE,PE(P-18:0_18:2),17.74,0.03,0.20%,7442509,2932509,39.40%,728.558867,[M+H],3832425,8456850,2181635,10987725,8310229,7392913,9044568,6222525,10553711
PE,PE(O-18:1_18:2),17.74,0.03,0.20%,7442509,2932509,39.40%,728.558867,[M+H],3832425,8456850,2181635,10987725,8310229,7392913,9044568,6222525,10553711
TG,TG(14:0_16:0_14:1),22.58,0.02,0.10%,116577261,45947552,39.40%,766.691916,[M+NH4],126538144,46715244,123892248,162316016,31082354,132842744,131421128,140304080,154083392
MG,MG(O-19:4),3.12,0.03,0.90%,6607115,2611094,39.50%,351.289371,[M+H],5633823,891060,8629699,5766370,7248517,8790786,9363524,7863165,5277093
PA,PA(15:0_17:1),14.54,0.02,0.20%,275339667,108872226,39.50%,664.491182,[M+NH4],265593296,3301308,329225696,233651104,308142048,338190336,315066784,357831072,327055360
WE,WE(O-22:4),3.17,0.02,0.70%,5128494,2031011,39.60%,350.305356,[M+NH4],1028149,6718712,6011203,4407299,4800015,6924092,#N/A,6009993,#N/A
PC,PC(16:1_16:0),15.46,0.02,0.10%,13072036,5195116,39.70%,754.535726,[M+Na],4013341,12613226,15885579,7154021,10613028,14584583,15491182,21326638,15966728
TG,TG(34:5_16:1)+O:(s),19.34,0.04,0.20%,32277151,12829155,39.70%,839.675932,[M+H],36232608,36487364,7736723,16991310,35329900,#N/A,41191424,41852476,42395400
TG,TG(16:0_16:1_16:1)+OO:(s),20.08,0.02,0.10%,101876411,40576542,39.80%,852.728696,[M+NH4],29289510,#N/A,80064704,131691112,127128376,77761520,136175632,#N/A,131024024
TG,TG(16:0_18:4_20:6),20.55,0.03,0.10%,4949559,1970594,39.80%,888.707566,[M+NH4],2717027,7503769,3530434,5366242,2048041,5429380,6388325,#N/A,6613252
AcHexSiE,AcHexSiE (18:3),19.89,0.02,0.10%,7143395,2845434,39.80%,854.686831,[M+NH4],2506722,8618160,6930026,5534198,4878014,7240714,11235825,6235038,11111861
WE,WE(O-48:11),20.72,0.18,0.80%,8221664,3273669,39.80%,700.602707,[M+NH4],5944980,6927878,7276231,13153740,7280270,5747255,9416835,13792592,4455194
TG,TG(6:0_9:0_24:1),18.07,0.02,0.10%,13036440,5196526,39.90%,696.613666,[M+NH4],14973392,3701523,7727560,8074721,14490862,15559393,17068190,17177778,18554538
PC,PC(38:7),14.15,0.02,0.20%,29743373,11906217,40%,804.553782,[M+H],24926472,21867978,30885998,30716766,41141668,4315212,44485704,33245182,36105376
PI,PI(44:0),20.36,0.02,0.10%,4129856,1654239,40.10%,996.747456,[M+NH4],272739,4336012,5382401,3979385,4984331,2854169,5088787,4933881,5336999
LPC,LPC(18:2),2.76,0.01,0.50%,134796556,54068240,40.10%,520.339766,[M+H],22449446,173052480,#N/A,165432272,153194544,123316296,179319248,126811608,#N/A
TG,TG(7:0_16:1_16:1)+O:(s),15.31,0.02,0.20%,20187735,8113124,40.20%,710.592931,[M+NH4],24320138,25348504,3602845,21438608,21523084,9351173,23932600,27394676,24777988
PI,PI(37:0),17.5,0.03,0.20%,3551620,1439526,40.50%,898.637906,[M+NH4],364861,4505048,3101924,4351523,4139186,2245262,4353670,4873748,4029363
TG,TG(32:0_18:4),24.02,0.02,0.10%,16871207,6848910,40.60%,827.712317,[M+H],20387906,20433896,5643633,19286066,15686714,5447613,24344104,22173174,18437758
TG,TG(8:0_16:0)+O:(s),6.89,0.01,0.10%,13870233,5679489,40.90%,509.344875,[M+Na],10502510,9138400,14171112,10911658,10799137,16464135,12073418,27841798,12929928
TG,TG(O-16:1_16:1_16:1),23.59,0.03,0.10%,3421477,1404413,41%,804.743952,[M+NH4],4357268,2535052,2947030,4092785,4591342,292856,4596494,3073862,4306604
DG,DG(P-5:0_19:0),8.02,0.04,0.50%,23277224,9533059,41%,441.393836,[M+H],26386828,20247396,26564734,26255558,21518100,538449,29121876,34837556,24024520
TG,TG(28:2)+OO:(s),4.94,0.01,0.30%,4922417,2025071,41.10%,572.415694,[M+NH4],5395826,6245500,5532082,5431212,221056,3048320,5997873,6426117,6003767
MePC,MePC(37:1),19.19,0.05,0.30%,2327176,956910,41.10%,817.655507,[M+H],1310476,2553967,3025357,3438122,2964303,314543,2559442,2375307,2403070
PC,PC(O-35:1),17.64,0.02,0.10%,62847846,25900287,41.20%,760.621467,[M+H],7731,67820712,73083696,64902400,66806420,75632272,#N/A,80294912,74234624
TG,TG(36:2_18:1)+O:(s),21.82,0.03,0.10%,15346108,6329115,41.20%,918.812032,[M+NH4],11680370,8031365,4175025,22127944,19827878,14974144,20368162,15479163,21450918
PC,PC(34:1),16.53,0.01,0.10%,49308472,20389167,41.40%,782.567027,[M+Na],30192966,67348792,#N/A,#N/A,66515208,33176922,#N/A,#N/A,#N/A
PC,PC(40:9),12.47,0.02,0.10%,3501080,1454016,41.50%,828.553782,[M+H],4005083,3995543,2830561,4130916,2910707,60739,4191477,4878263,4506434
TG,TG(6:0_3:0_16:0),6.36,0.02,0.30%,4919283,2046224,41.60%,507.36561,[M+Na],4629291,3323362,5796492,3920585,5879374,1273013,4242249,7628203,7580980
TG,TG(15:1_16:1_18:1),22.83,0.04,0.20%,6017073,2510013,41.70%,832.738867,[M+NH4],9133224,3668316,3589476,#N/A,4784722,5933904,#N/A,8992798,#N/A
DG,DG(O-22:2),5.17,0.02,0.50%,7324882,3072419,41.90%,428.373436,[M+NH4],3076477,12066687,6513279,8647098,11192261,5031514,8560385,4083327,6752912
TG,TG(27:2_16:0)+O:(s),19.52,0.03,0.20%,21502086,9033765,42%,766.655531,[M+NH4],1592266,16362586,20914796,20753740,21206730,29630756,24565106,33348690,25144102
TG,TG(16:0_18:1_16:2)+O:(s),21.23,0.03,0.20%,36266755,15296347,42.20%,862.749431,[M+NH4],21826944,18438524,44153168,43757140,27546290,16449287,46187588,57864620,50177232
PC,PC(O-42:5),18.66,0.02,0.10%,21626937,9145881,42.30%,850.668418,[M+H],17157214,26751388,16757423,25450646,25078652,1766481,28767766,20107646,32805220
DG,DG(6:0_18:1),7.56,0.02,0.30%,8300914,3523460,42.40%,477.355046,[M+Na],7213204,1971886,8965301,5061592,10421980,14472175,10242314,7562582,8797190
DG,DG(15:2_18:1),14.83,0.02,0.10%,9501958,4025745,42.40%,594.509201,[M+NH4],11319824,15964244,7367203,6810911,6426148,8115982,5278485,#N/A,14732869
DG,DG(O-17:2_23:4),18.56,0.08,0.40%,3812869,1619474,42.50%,672.592537,[M+NH4],4659699,3518474,3940208,2870102,964550,2057402,5735337,5439618,5130431
PC,PC(32:0),15.59,0.04,0.30%,80414689,34314018,42.70%,734.569432,[M+H],#N/A,72488952,128801320,#N/A,47739764,72628720,#N/A,#N/A,#N/A
DG,DG(16:0_18:4),12.85,0.02,0.20%,11166900,4783951,42.80%,589.482651,[M+H],5696796,11770768,2854679,10103443,14489844,13997531,8643448,15820277,17125316
PE,PE(16:0_20:4),15.15,0.03,0.20%,9758918,4197464,43%,740.522482,[M+H],7638690,12055653,15055828,4512332,10838221,2158445,10338911,12617271,12614911
TG,TG(20:3_16:1_16:1),23.97,0.02,0.10%,24612755,10594831,43%,853.727967,[M+H],27335498,12323853,2430862,28035676,29860640,25189952,33711220,27108566,35518524
TG,TG(18:2_18:2_18:2)+O:(s),20.97,0.02,0.10%,21670087,9339150,43.10%,912.765081,[M+NH4],9152701,21010418,28894660,23240094,11671099,10519146,34744780,25338646,30459236
DG,DG(O-21:3),3.69,0.02,0.60%,4414797,1908922,43.20%,395.315586,[M+H],3458076,4328529,755142,5100602,3239068,4446404,4964324,7732368,5708666
TG,TG(24:1_16:1)+O:(s),16.01,0.02,0.10%,58285604,25220682,43.30%,724.608581,[M+NH4],22717234,24535934,53021104,60087840,58161824,85398104,58462476,102046064,60139852
LPI,LPI(30:0),13.66,0.03,0.30%,23472595,10193062,43.40%,769.522541,[M+H],2170877,25221804,30141528,26199832,27384512,10182905,29032258,31455112,29464526
TG,TG(24:1_15:0)+O:(s),16.4,0.02,0.10%,19163745,8331695,43.50%,712.608581,[M+NH4],8583717,16710395,23660864,19914902,22629260,24284106,3214702,28889384,24586376
TG,TG(7:0_15:2_15:2),10.39,0.03,0.30%,3857518,1686693,43.70%,645.508866,[M+H],248772,2608643,5050266,4356079,3047072,4223697,4137794,5735509,5309832
DG,DG(17:1_18:1),18.3,0.02,0.10%,10637743,4654810,43.80%,629.511546,[M+Na],5671495,13481539,1466142,12820551,13939383,7334477,13167922,12974058,14884125
TG,TG(16:1_18:2_18:3),22.34,0.02,0.10%,6809463,2992567,43.90%,868.738867,[M+NH4],4693398,#N/A,8925527,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PC,PC(15:0_16:0),15.23,0.02,0.10%,275736149,121886196,44.20%,720.553782,[M+H],213723264,136233712,155579232,370809152,174179120,197043008,398408704,425998688,409650464
TG,TG(24:0)+O:(s),3.46,0.02,0.70%,2631533,1163266,44.20%,504.38948,[M+NH4],1633480,2785141,3734968,1737771,615135,3194988,3798819,3991727,2191768
DG,DG(O-12:1_23:1),17.92,0.05,0.30%,9651034,4263197,44.20%,610.576887,[M+NH4],14151652,10108794,11186871,8131647,1997996,#N/A,#N/A,#N/A,12329243
PI,PI(O-36:2),15.81,0.03,0.20%,13797670,6092243,44.20%,866.611691,[M+NH4],10845223,2329830,14640619,17151032,17000314,19408376,19259566,17471328,6072747
PC,PC(39:6),15.49,0.03,0.20%,4369136,1944057,44.50%,820.585082,[M+H],2301129,3466115,2221730,5914646,4257332,2561857,7110441,4409171,7079801
AcHexChE,AcHexChE(18:3),14.32,0.02,0.20%,5646921,2512793,44.50%,809.628981,[M+H],5420231,2208149,2868594,5884599,3043008,7440918,6741607,9640211,7574976
TG,TG(P-13:0_16:1),13.94,0.02,0.10%,13624992,6082749,44.60%,545.417646,[M+Na],725178,10630489,19557598,13973861,11163311,18659234,12205572,20692748,15016933
PG,PG(34:3),13.24,0.03,0.20%,3440053,1538200,44.70%,762.527961,[M+NH4],1675168,2984874,2934962,4824158,2647583,1113053,4262439,5480874,5037364
DG,DG(16:0_20:5),16.47,0.04,0.20%,12581426,5638103,44.80%,632.524851,[M+NH4],14467362,10985415,14803783,16357514,6974809,12332314,18601778,975119,17734742
TG,TG(17:2_16:0)+OO:(s),10.01,0.02,0.20%,9687210,4360895,45%,647.44934,[M+Na],10012630,1053750,12771201,11507989,11930604,3474399,11516302,11380268,13537744
CL,CL(68:4),22.34,0.02,0.10%,3378118,1519763,45%,1423.961448,[M+Na],179667,2879220,1929799,4049013,3468695,4269428,3929232,4942124,4755886
DG,DG(7:0_24:1),13.56,0.03,0.20%,2849402,1284624,45.10%,570.509201,[M+NH4],792302,2162004,3958267,4460521,3728733,2080302,#N/A,#N/A,2763681
PC,PC(40:5),16.67,0.03,0.20%,8575920,3880317,45.20%,858.598327,[M+Na],4729474,9843219,4203861,10820159,10434791,5062864,14745893,5064689,12278335
PC,PC(15:2_14:1),14.51,0.03,0.20%,14444461,6526140,45.20%,708.457476,[M+Na],18904466,15834224,3739364,18291070,2416161,18126748,16639686,18663690,17384742
DG,DG(22:1),5.26,0.03,0.60%,1704381,770542,45.20%,444.36835,[M+NH4],1027436,1051180,2472442,2577600,506155,1394075,1535385,2291596,2483557
DGDG,DGDG(18:1_19:1),17.13,0.04,0.20%,2459588,1111535,45.20%,976.693098,[M+NH4],1791920,1877663,2970563,632982,1521902,4398006,2814874,3127610,3000774
PC,PC(15:1_19:1),16.67,0.03,0.20%,96918388,43912816,45.30%,758.569432,[M+H],119787912,44233516,61739056,46562784,137521200,129007784,139576464,#N/A,#N/A
PC,PC(O-36:5),15.06,0.04,0.30%,6259011,2851480,45.60%,766.574517,[M+H],11165590,1613529,6720300,7562371,4094000,5439874,3803664,7600409,8331361
PE,PE(O-34:1),17.69,0.01,0.10%,9306355,4246893,45.60%,704.558867,[M+H],2498035,5439397,10550130,10403252,7013295,10562172,9192471,17817134,10281305
MePC,MePC(32:1),18.48,0.03,0.20%,3691069,1684531,45.60%,747.577257,[M+H],5909384,2171358,5848618,4096186,1410860,3466152,4872429,3754082,1690556
LPC,LPC(17:1),2.88,0.01,0.40%,11693626,5362076,45.90%,508.339766,[M+H],10359641,7805506,9394275,5918571,7908288,21423616,18542244,14982343,8908151
