Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14NEG Sum Total Area,Auricularia_Polytricha_OE21-4-F7NEG Sum Total Area,Blastobotrys_Sp_LG1401_ESA_OE21-4-E8F45NEG Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12NEG Sum Total Area,Equisetum_Arvense_OE11-E4-P11NEG Sum Total Area,Ginko_biloba_OE11-3-E4-P27NEG Sum Total Area,Labilithrix_luteola_1B3R5D0E2N Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2N Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1NEG Sum Total Area,Thallasiosira_weissflogii_P42NEG Sum Total Area,Ulva_P56NEG Sum Total Area,Valonia_P52NEG Sum Total Area
FA,FA(18:2)+2O:(s),C18H32O4,311.222784,[M-H],312.23006,1.73,0.06,267.5%,601663,320939360,39921792,1759448704,3481524,5504136,27734,7899,8016,10570126,#N/A,25334554
PC,PC(18:1_18:2),C44H82N1O8P1,768.554879,[M-CH3]-,783.577806,15.26,0.02,148.1%,570206,152136608,297806912,#N/A,8575,#N/A,#N/A,#N/A,#N/A,72449,#N/A,#N/A
SQDG,SQDG(28:8_16:0),C53H86O12S1,991.582202,[M+HCOO],946.583999,7.36,0.05,171.4%,569871,0,#N/A,951001,30522,#N/A,#N/A,#N/A,#N/A,0,3143825,6661
PI,PI(34:2),C43H79O13P1,833.518554,[M-H],834.52583,12.59,0.03,216%,547954,#N/A,#N/A,#N/A,2068,191550,#N/A,#N/A,1655,#N/A,45528,7063517
FA,FA(22:3)+2O:(s),C22H38O4,365.269734,[M-H],366.27701,2.39,0.01,215.5%,538406,47415,#N/A,101259576,2345713,124614,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PG,PG(18:1_15:2),C39H71O10P1,729.47121,[M-H],730.478486,9.91,0.04,115.1%,523044,52780,207276,966555,40963,317685,#N/A,#N/A,#N/A,#N/A,0,#N/A
FA,FA(25:2)+2O:(s),C25H46O4,409.332334,[M-H],410.33961,9,0.02,138.7%,514954,5926,#N/A,#N/A,153216,13697,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FA,FA(29:5)+O:(s),C29H48O3,443.35307,[M-H],444.360346,15.74,0.01,162.9%,482552,#N/A,#N/A,#N/A,12538860,36974,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MGDG,MGDG(17:1_16:0),C42H78O10,787.557702,[M+HCOO],742.559499,15.92,0.03,112.8%,434299,970745,0,#N/A,#N/A,244514,#N/A,#N/A,#N/A,#N/A,3429556,1749463
LPC,LPC(P-16:2),C24H46N1O6P1,520.304478,[M+HCOO],475.306275,1.77,0.03,199.3%,430817,3437576,2100033,21189626,0,39642,#N/A,#N/A,#N/A,#N/A,0,#N/A
MGDG,MGDG(16:1_16:0),C41H76O10,773.542052,[M+HCOO],728.543849,15.18,0.06,239.5%,430800,#N/A,#N/A,#N/A,133272,60433,9470,#N/A,#N/A,1795527168,#N/A,33539008
PI,PI(18:1_18:3),C45H79O13P1,857.518554,[M-H],858.52583,10.73,0.02,134%,352130,#N/A,#N/A,1055045,133150,254336,#N/A,0,#N/A,0,46719,225019
DGDG,DGDG(18:2_20:1),C53H94O15,1015.657476,[M+HCOO],970.659273,15.99,0.04,128.5%,341332,#N/A,#N/A,0,889289,#N/A,#N/A,#N/A,#N/A,1761,#N/A,195009
PA,PA(18:3_18:3),C39H65O8P1,691.43443,[M-H],692.441706,9.51,0.02,222.8%,337919,#N/A,#N/A,#N/A,287892800,440752,#N/A,#N/A,#N/A,#N/A,0,21763
DGDG,DGDG(17:2_18:4),C50H82O15,967.563575,[M+HCOO],922.565372,6.46,0.05,232.3%,333673,0,0,0,27889,#N/A,#N/A,#N/A,#N/A,#N/A,7933420,#N/A
MGDG,MGDG(20:5_20:4),C49H76O10,869.542052,[M+HCOO],824.543849,12.8,0.09,260.3%,327433,#N/A,#N/A,434175,58000,#N/A,#N/A,0,#N/A,1148952,39953,141424000
PEt,PEt(16:0_16:1),C37H71O8P1,673.481381,[M-H],674.488657,16.39,0.07,228.5%,318749,40345636,9730024,0,2884832,4159858,#N/A,0,64784,180886,88677,70746
PC,PC(16:1_2:0),C26H50N1O8P1,580.325608,[M+HCOO],535.327405,1.83,0.04,263.9%,304464,#N/A,#N/A,241336512,184728,1787,#N/A,0,0,#N/A,0,#N/A
DGDG,DGDG(18:1_18:1),C51H92O15,989.641826,[M+HCOO],944.643623,15.86,0.04,222.3%,297093,25522,#N/A,#N/A,29723,#N/A,652972,#N/A,#N/A,229881,9085740,225368
PC,PC(18:1_18:3),C44H80N1O8P1,766.539229,[M-CH3]-,781.562156,12.22,0.05,210.4%,291112,#N/A,0,#N/A,8333,391,#N/A,0,#N/A,4111051,625225,#N/A
Hex1Cer,Hex1Cer(d18:1_24:1)+O:(s),C48H91N1O9,870.667587,[M+HCOO],825.669384,17.04,0.02,144.7%,289251,#N/A,#N/A,#N/A,15593295,8232908,#N/A,0,#N/A,#N/A,#N/A,0
PE,PE(2:0_18:2),C25H46N1O8P1,518.288829,[M-H],519.296105,3.04,0.04,262.7%,284126,1033634,91341,20835266,#N/A,0,0,#N/A,#N/A,0,#N/A,0
MGDG,MGDG(14:0_16:2),C39H70O10,743.495102,[M+HCOO],698.496899,12.21,0.14,222.7%,279576,0,296813,0,660060,34613,#N/A,754,#N/A,16435584,4227116,1100564
DGDG,DGDG(18:0_18:2),C51H92O15,989.641826,[M+HCOO],944.643623,16.01,0.05,195.8%,266630,#N/A,#N/A,0,111534,1024381,129458,#N/A,#N/A,1309364,615990,9053289
SQDG,SQDG(19:2_16:1),C44H78O12S1,829.514123,[M-H],830.521399,11.18,0.02,198.7%,255273,0,65914,1480,2035149,84384,#N/A,#N/A,#N/A,#N/A,35872,304495
FA,FA(29:4),C29H50O2,429.373805,[M-H],430.381081,8.07,0.01,53.1%,249459,#N/A,#N/A,#N/A,877107,721396,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PG,PG(16:1_17:1),C39H73O10P1,731.48686,[M-H],732.494136,15.28,0.01,203.7%,213070,#N/A,#N/A,#N/A,138783,2705118,0,0,#N/A,#N/A,#N/A,97826
MGDG,MGDG(16:3_19:4),C44H70O10,803.495102,[M+HCOO],758.496899,10.51,0.03,278.6%,207739,0,38536,0,707955,115371,#N/A,#N/A,#N/A,17275800,59895,50201
MGDG,MGDG(18:4_20:5),C47H72O10,841.510752,[M+HCOO],796.512549,10.71,0.04,147.6%,188708,226,339,#N/A,76206,27081,#N/A,#N/A,#N/A,513789,#N/A,1054407
DGDG,DGDG(18:0_20:4),C53H92O15,1013.641826,[M+HCOO],968.643623,15.52,0.06,109.1%,186893,#N/A,#N/A,#N/A,36572,#N/A,#N/A,#N/A,#N/A,24980,#N/A,#N/A
MGDG,MGDG(17:3_20:5),C46H72O10,829.510752,[M+HCOO],784.512549,11.22,0.03,189.8%,166077,0,65914,#N/A,2035149,148937,#N/A,#N/A,#N/A,#N/A,#N/A,94325
SQDG,SQDG(16:0_17:1),C42H78O12S1,851.519602,[M+HCOO],806.521399,8.12,0.04,247.5%,165348,0,0,#N/A,19728550,953166,#N/A,#N/A,#N/A,0,#N/A,55742
SQDG,SQDG(10:0_23:1),C42H78O12S1,851.519602,[M+HCOO],806.521399,8.35,0.02,190.6%,163669,0,0,373764,690765,#N/A,#N/A,#N/A,#N/A,104288,3820197,262088
DGDG,DGDG(18:2_16:1),C49H86O15,959.594875,[M+HCOO],914.596672,10.47,0.04,175.9%,153502,#N/A,#N/A,493520,3913651,97301,#N/A,#N/A,#N/A,#N/A,78750,#N/A
FA,FA(19:4)+2O:(s),C19H30O4,321.207134,[M-H],322.21441,1.65,0.04,266.5%,152288,818887,#N/A,#N/A,1187505,984899,609,#N/A,#N/A,248758,71203736,397801
PC,PC(16:0_2:0),C26H52N1O8P1,582.341258,[M+HCOO],537.343055,1.99,0.02,95.1%,152246,1285974,392282,2300945,45740,1397650,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LPC,LPC(20:2),C28H54N1O7P1,592.361993,[M+HCOO],547.36379,4.95,0.02,128.1%,136167,49360,606627,699798,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A
PE,PE(18:3_20:4),C43H72N1O8P1,760.49228,[M-H],761.499556,8.53,0.04,128.2%,135393,0,0,#N/A,63169,#N/A,#N/A,#N/A,#N/A,8458,231017,#N/A
PC,PC(16:1_18:1),C42H80N1O8P1,742.539229,[M-CH3]-,757.562156,15.25,0.04,209.4%,124963,44199276,8918603,869171,#N/A,#N/A,#N/A,#N/A,#N/A,37036,562248,0
LPE,LPE(17:0),C22H46N1O7P1,466.293914,[M-H],467.30119,3.59,0.02,256.6%,122297,#N/A,17126504,#N/A,#N/A,10168,11874,0,#N/A,1291412,121991,0
Cer,Cer(d41:1)+2O:(s),C41H81N1O5,712.609678,[M+HCOO],667.611475,16.93,0.02,175.6%,121854,#N/A,#N/A,#N/A,41301,958068,#N/A,#N/A,0,40836,#N/A,#N/A
PC,PC(16:0_18:1),C42H82N1O8P1,744.554879,[M-CH3]-,759.577806,16.14,0.12,168.4%,120061,38335,#N/A,0,0,313346,#N/A,#N/A,#N/A,20493,36445,827463
LPE,LPE(18:0),C23H48N1O7P1,480.309564,[M-H],481.31684,5.5,0.04,198.2%,111252,51673160,54838368,0,415,#N/A,2788,#N/A,#N/A,20274,0,2196
DGDG,DGDG(15:2_16:2),C46H78O15,915.532275,[M+HCOO],870.534072,13.36,0.02,257.7%,111148,#N/A,0,#N/A,99940,48839,3249,#N/A,88000,3186321,40534124,#N/A
SQDG,SQDG(16:2_20:5),C45H72O12S1,835.467173,[M-H],836.474449,8.21,0.03,107.3%,105146,#N/A,#N/A,0,7128,#N/A,#N/A,#N/A,#N/A,60668,248269,85002
PC,PC(16:0_18:2),C42H80N1O8P1,742.539229,[M-CH3]-,757.562156,14.91,0.04,226.2%,103790,#N/A,#N/A,85302,#N/A,50163,#N/A,#N/A,#N/A,13560337,304938,385227
PA,PA(18:0_18:2),C39H73O8P1,699.497031,[M-H],700.504307,16.33,0.04,175.9%,98960,49368696,#N/A,#N/A,184994,84873680,0,#N/A,#N/A,1367677,28184,#N/A
LPG,LPG(30:5),C36H63O9P1,669.413695,[M-H],670.420971,7.98,0.05,155.3%,98027,#N/A,#N/A,#N/A,#N/A,21655,#N/A,#N/A,#N/A,29,563905,#N/A
DGMG,DGMG(18:3),C33H56O14,721.36521,[M+HCOO],676.367007,2.23,0.02,236.7%,96534,#N/A,#N/A,#N/A,68592400,1004577,#N/A,#N/A,#N/A,0,7247,874197
PG,PG(15:0_16:1),C37H71O10P1,705.47121,[M-H],706.478486,12.24,0.04,218.6%,92168,#N/A,#N/A,0,#N/A,51345,#N/A,#N/A,#N/A,12137272,79546,#N/A
DGDG,DGDG(20:5_20:4),C55H86O15,1031.594875,[M+HCOO],986.596672,11.91,0.02,94.2%,84225,#N/A,0,#N/A,45121,5039,#N/A,#N/A,#N/A,#N/A,#N/A,88356
PA,PA(16:3_18:3),C37H61O8P1,663.40313,[M-H],664.410406,8.47,0.05,257.7%,83819,7272,#N/A,#N/A,13024505,#N/A,0,#N/A,#N/A,99685,58070,48762
LPC,LPC(16:1),C24H48N1O7P1,538.315043,[M+HCOO],493.31684,2.89,0.04,228.3%,83814,#N/A,516854,4539626,18433,0,40767,#N/A,#N/A,292721,#N/A,0
DGDG,DGDG(17:1_18:4),C50H84O15,969.579225,[M+HCOO],924.581022,2.48,0.02,144.7%,82627,#N/A,#N/A,#N/A,2875413,275333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DGDG,DGDG(18:1_16:1),C49H88O15,961.610525,[M+HCOO],916.612323,14.11,0.06,198.5%,82086,#N/A,#N/A,0,#N/A,33267,18334,#N/A,#N/A,#N/A,1336487,#N/A
FA,FA(30:0)+CHO:(s),C30H58O3,465.43132,[M-H],466.438596,15.97,0.06,267.6%,80045,#N/A,107312,#N/A,19692,5984547,#N/A,#N/A,21669,277,44696,23042
PA,PA(18:0_18:3),C39H71O8P1,697.481381,[M-H],698.488657,15.32,0.08,129.2%,77515,#N/A,286945,0,#N/A,905020,#N/A,#N/A,#N/A,#N/A,286665,19819
MGDG,MGDG(20:5_18:2),C47H76O10,845.542052,[M+HCOO],800.543849,13.24,0.09,159.1%,75471,0,#N/A,#N/A,#N/A,38132,#N/A,19099,#N/A,12373260,#N/A,19069712
PI,PI(18:1_18:1),C45H83O13P1,861.549854,[M-H],862.55713,15,0.03,187.2%,70463,924602,4063062,11050749,87947,#N/A,#N/A,0,353052,#N/A,25717,#N/A
PS,PS(22:1_22:5),C50H86N1O10P1,890.591659,[M-H],891.598935,16.2,0.03,161.1%,68752,0,51716,0,0,0,#N/A,0,#N/A,0,#N/A,110162
MGDG,MGDG(15:0_16:1),C40H74O10,759.526402,[M+HCOO],714.528199,14.46,0.03,259.8%,65848,220902,#N/A,#N/A,#N/A,299415,41836,#N/A,#N/A,52275964,52251,135202
PC,PC(16:0_16:0),C40H80N1O8P1,778.560359,[M+HCOO],733.562156,16.58,0.02,221%,65053,3847806,#N/A,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,94164,184976
DGDG,DGDG(35:6),C50H82O15,967.563575,[M+HCOO],922.565372,4.72,0.01,103.2%,63498,#N/A,#N/A,#N/A,250531,30749,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MGMG,MGMG(20:4),C29H48O9,539.322557,[M-H],540.329833,2.77,0.01,127.9%,56497,#N/A,#N/A,165096,43767,#N/A,#N/A,#N/A,#N/A,3198658,#N/A,2749696
FA,FA(26:4)+O:(s),C26H44O3,403.321769,[M-H],404.329045,13.04,#N/A,#N/A,55161,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PC,PC(21:2_18:1),C47H88N1O8P1,870.622959,[M+HCOO],825.624756,17.2,0.03,173.4%,54286,0,#N/A,291440,0,36182,#N/A,#N/A,#N/A,8980,#N/A,#N/A
PA,PA(18:2_20:2),C41H73O8P1,723.497031,[M-H],724.504307,16.07,0.04,150.5%,47673,201892,43840,471059,965192,154325,#N/A,0,#N/A,0,122646,11150
PG,PG(16:0_19:1),C41H79O10P1,761.53381,[M-H],762.541086,15.4,0.04,103.3%,46351,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,449415,967708,778893,123676
DGDG,DGDG(18:2_16:2),C49H84O15,957.579225,[M+HCOO],912.581022,10.39,0.03,63.4%,45996,#N/A,#N/A,#N/A,#N/A,17516,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PE,PE(15:0_18:1)+D7:(s),C38H74NO8P,709.551867,[M7D-H],710.559143,15.21,0.06,213.4%,45926,#N/A,#N/A,#N/A,53158,314577,0,#N/A,3337750,#N/A,0,#N/A
PC,PC(18:2_21:1),C47H88N1O8P1,870.622959,[M+HCOO],825.624756,17.37,0.03,141.8%,45186,230965,327400,391664,0,9263,5646,#N/A,#N/A,0,0,#N/A
FA,FA(19:2)+2O:(s),C19H34O4,325.238434,[M-H],326.24571,4.96,0.02,218.3%,44453,9009,25754,#N/A,109126,#N/A,#N/A,2106,1621,2891031,22915460,4977571
SQMG,SQMG(18:0),C27H52O11S1,583.315757,[M-H],584.323033,3.73,0.03,146.7%,44216,0,#N/A,#N/A,61511,#N/A,#N/A,#N/A,#N/A,4092230,4724652,246941
MGDG,MGDG(18:2_20:5),C47H76O10,845.542052,[M+HCOO],800.543849,13.16,0.03,253.5%,44143,#N/A,#N/A,0,#N/A,0,#N/A,5814,#N/A,427252,38732172,977020
PI,PI(15:0_18:2),C42H77O13P1,819.502904,[M-H],820.51018,10.71,0.12,138%,44000,#N/A,#N/A,#N/A,2,#N/A,#N/A,#N/A,6400,705658,133474,294772
FA,FA(21:0)+CHO:(s),C21H40O3,339.290469,[M-H],340.297745,6.79,0.03,61.2%,43025,13579,#N/A,#N/A,69420,#N/A,#N/A,#N/A,#N/A,28970,#N/A,#N/A
PEt,PEt(16:0_28:8),C49H81O8P1,827.559631,[M-H],828.566907,15.14,0.04,147.8%,41561,#N/A,#N/A,#N/A,#N/A,#N/A,6058,#N/A,#N/A,1488545,#N/A,346633
Cer,Cer(d18:1_16:0),C34H67N1O3,582.510298,[M+HCOO],537.512095,15.9,0.03,143.2%,40721,12740611,40595312,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,35025,#N/A
PS,PS(P-17:3_18:2),C41H70N1O9P1,750.471544,[M-H],751.47882,7.34,0.03,242.5%,40027,7317,110728,22439894,30589,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
FA,FA(20:3)+2O:(s),C20H34O4,337.238434,[M-H],338.24571,2.54,0.03,190.5%,38887,#N/A,181184,3228199,24045448,2101153,#N/A,141531,#N/A,#N/A,#N/A,#N/A
DGDG,DGDG(16:1_16:3),C47H80O15,929.547925,[M+HCOO],884.549722,9.68,0.05,264%,38378,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,35653,52633736,22457
PC,PC(17:1_18:2),C43H80N1O8P1,814.560359,[M+HCOO],769.562156,14.41,0.02,258.3%,36874,2316320,154629952,#N/A,9882,0,#N/A,0,#N/A,867128,#N/A,#N/A
PS,PS(18:1_18:1),C42H78N1O10P1,786.529059,[M-H],787.536335,15.3,0.03,109.4%,35295,#N/A,398718,#N/A,#N/A,98614,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PEt,PEt(14:0_16:1),C35H67O8P1,645.45008,[M-H],646.457356,14.25,0.02,123.7%,35195,#N/A,#N/A,#N/A,8274,608538,#N/A,#N/A,12725,282712,184593,#N/A
PS,PS(O-19:1_18:2),C43H80N1O9P1,784.549794,[M-H],785.55707,15.17,0.04,144.9%,34182,134072,450188,650700,#N/A,0,947,#N/A,#N/A,#N/A,0,#N/A
PC,PC(18:0_18:1),C44H86N1O8P1,832.607309,[M+HCOO],787.609106,17.84,0.15,197%,33649,1833530,19939166,6080208,0,0,#N/A,#N/A,#N/A,1972784,15866,11847
PC,PC(O-14:2_18:2),C40H74N1O7P1,756.518494,[M+HCOO],711.520291,10.37,0.03,126.2%,32507,811712,72552,384271,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,36774,#N/A
MGDG,MGDG(16:2_20:5),C45H72O10,817.510752,[M+HCOO],772.512549,11.29,0.05,242.6%,31988,#N/A,#N/A,313004,1585093,#N/A,#N/A,#N/A,#N/A,843796672,2266834,2638284
FA,FA(22:0),C22H44O2,339.326855,[M-H],340.334131,14.25,0.02,203.9%,31825,#N/A,#N/A,#N/A,36456,186301,#N/A,#N/A,#N/A,264795,41086364,6643117
Hex1Cer,Hex1Cer(d37:2)+O:(s),C43H81N1O9,800.589336,[M+HCOO],755.591134,16.73,0.03,223.1%,30487,#N/A,0,20051796,0,7750,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CL,CL(36:5_18:3),C63H108O16P2,1181.703986,[M-H],1182.711262,16.02,0.07,99%,29241,#N/A,#N/A,#N/A,#N/A,132808,#N/A,#N/A,#N/A,237702,67295,5083
PG,PG(P-15:2_17:0),C38H71O9P1,701.476295,[M-H],702.483571,12.05,0.03,122.8%,28383,14300,66671,0,29907,0,#N/A,#N/A,#N/A,#N/A,0,#N/A
DGDG,DGDG(16:2_19:4),C50H82O15,967.563575,[M+HCOO],922.565372,10.5,0.02,239.3%,27894,#N/A,#N/A,#N/A,0,36725,#N/A,#N/A,#N/A,3264272,0,0
FA,FA(27:6)+2O:(s),C27H42O4,429.301034,[M-H],430.30831,4.27,0.04,69.2%,26377,105479,203684,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,88765,#N/A
PG,PG(17:2_18:2),C41H73O10P1,755.48686,[M-H],756.494136,14.24,0.07,214.5%,25474,0,49269,2859588,132688,#N/A,#N/A,#N/A,#N/A,126192,#N/A,#N/A
PE,PE(18:1_20:2),C43H80N1O8P1,768.55488,[M-H],769.562156,15.52,0.03,194.5%,25422,19153974,6612109,#N/A,67422,#N/A,#N/A,#N/A,#N/A,20601,146314,0
PEt,PEt(14:1_16:1),C35H65O8P1,643.43443,[M-H],644.441706,12.43,0.1,178.9%,25222,#N/A,#N/A,#N/A,36115,24350,516,#N/A,#N/A,1291388,328122,#N/A
PA,PA(16:0_16:3),C35H63O8P1,641.41878,[M-H],642.426056,10.69,0.03,129.9%,24558,#N/A,0,712447,804596,139475,#N/A,#N/A,#N/A,31329,#N/A,#N/A
FA,FA(22:1),C22H42O2,337.311205,[M-H],338.318481,7.7,0.02,167.5%,24518,#N/A,#N/A,584186,#N/A,#N/A,#N/A,#N/A,#N/A,23128,103715,2302
DGDG,DGDG(16:1_18:1),C49H88O15,961.610525,[M+HCOO],916.612323,14.26,0.02,214.5%,24286,#N/A,#N/A,0,20342,#N/A,42256,#N/A,#N/A,18335330,3220766,520103
MGDG,MGDG(16:2_16:1),C41H72O10,769.510752,[M+HCOO],724.512549,12.46,0.05,282%,23259,#N/A,#N/A,0,0,40411,0,#N/A,0,290594336,#N/A,676811
CL,CL(O-18:2_18:2),C45H82O15P2,923.50562,[M-H],924.512896,8.07,0.01,224.2%,23188,10951,#N/A,#N/A,#N/A,572745,#N/A,0,#N/A,19461,28958,4334
PG,PG(16:0_16:3),C38H69O10P1,715.45556,[M-H],716.462836,9.41,0.03,215.1%,23071,#N/A,99327,415250,3868124,455244,#N/A,#N/A,#N/A,0,72630,0
PC,PC(19:1_20:2),C47H88N1O8P1,870.622959,[M+HCOO],825.624756,17.15,0.04,172.4%,22390,0,#N/A,131051,0,23059,0,#N/A,#N/A,14114,#N/A,#N/A
PI,PI(14:0_19:0),C42H81O13P1,823.534204,[M-H],824.54148,14.04,0.03,188.7%,21774,515136,#N/A,91537,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14050129
PA,PA(16:0_18:4),C37H65O8P1,667.43443,[M-H],668.441706,12.13,0.03,259%,21722,5846799,140980,0,#N/A,279763,#N/A,0,#N/A,#N/A,29660,0
LPG,LPG(15:0),C21H43O9P1,469.257194,[M-H],470.26447,2.4,0.03,205.5%,21244,#N/A,1472075,9473271,17181,22429,#N/A,39407,#N/A,#N/A,#N/A,#N/A
SQMG,SQMG(14:0),C23H44O11S1,527.253157,[M-H],528.260433,1.61,0.01,34.3%,20913,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21940,10830
PC,PC(16:1_18:1),C42H80N1O8P1,802.560359,[M+HCOO],757.562156,15.23,0.04,247.3%,20190,1783479936,107590696,134556,#N/A,#N/A,#N/A,#N/A,#N/A,564291,122074,299139
PE,PE(13:0_19:0),C37H74N1O8P1,690.50793,[M-H],691.515206,15.77,0.04,161.4%,19766,812750,0,105865,#N/A,#N/A,#N/A,#N/A,1928704,#N/A,16393,#N/A
LPE,LPE(15:0),C20H42N1O7P1,438.262614,[M-H],439.26989,2.84,0.04,168.4%,19752,71397760,150811408,172955,#N/A,#N/A,#N/A,#N/A,#N/A,501577,#N/A,0
PE,PE(14:0_18:1),C37H72N1O8P1,688.49228,[M-H],689.499556,14.24,0.03,24.8%,19348,#N/A,#N/A,#N/A,#N/A,17269,27288,#N/A,#N/A,#N/A,#N/A,#N/A
FA,FA(29:4)+2O:(s),C29H50O4,461.363634,[M-H],462.37091,8.57,0.02,95.5%,19086,#N/A,#N/A,#N/A,20703,#N/A,#N/A,#N/A,#N/A,132408,60114,22332
FA,FA(22:0)+COOH:(s),C22H42O4,369.301034,[M-H],370.30831,5.78,0.05,241.5%,18684,1791625,24763916,#N/A,106553,#N/A,#N/A,#N/A,2039,#N/A,93980,42316
MGDG,MGDG(18:2_20:4),C47H78O10,847.557702,[M+HCOO],802.559499,14.26,0.02,175.8%,18486,0,#N/A,#N/A,56151,9482,#N/A,0,#N/A,12341937,68539432,31143150
PC,PC(17:3_18:2),C43H76N1O8P1,810.529059,[M+HCOO],765.530856,14.51,0.05,132.4%,18400,106878,521,117091,6575,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
Cer,Cer(d42:0)+O:(s),C42H85N1O4,712.646063,[M+HCOO],667.64786,20.15,0.05,222.4%,18362,10358,1451,#N/A,35447,20964,#N/A,635,24016,1080055,55780,2725476
Cer,Cer(d40:0)+O:(s),C40H81N1O4,684.614763,[M+HCOO],639.61656,18.59,0.04,155.3%,18111,202,#N/A,#N/A,15537,36161,#N/A,5082,15860,#N/A,154585,14276
PI,PI(17:1_16:0),C42H79O13P1,821.518554,[M-H],822.52583,12.82,0.02,173.1%,17665,0,0,#N/A,#N/A,1687283,#N/A,#N/A,85806,#N/A,3864367,11503612
LPC,LPC(16:2),C24H46N1O7P1,536.299393,[M+HCOO],491.30119,2.16,0.04,206.4%,17406,4647491,4304976,0,0,67169,#N/A,0,0,404537,0,96239
MGDG,MGDG(16:2_18:2),C43H74O10,795.526402,[M+HCOO],750.528199,12.82,0.07,199.2%,17005,#N/A,0,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,19681220,4008297
MGDG,MGDG(16:2_14:1),C39H68O10,741.479452,[M+HCOO],696.481249,11.6,0.06,104.7%,16923,#N/A,67383,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,191206,0,248249
PI,PI(16:1_19:1),C44H81O13P1,847.534204,[M-H],848.54148,13.11,0.04,220.2%,16686,939924,0,0,#N/A,#N/A,#N/A,776,27532,#N/A,203762,0
PG,PG(O-15:2_18:1),C39H73O9P1,715.491945,[M-H],716.499221,11.61,0.04,252.3%,16600,265287,4667520,257246,88635,112679,#N/A,#N/A,0,0,#N/A,39139
LPEt,LPEt(18:1),C23H45O7P1,463.283015,[M-H],464.290291,6.47,0.02,239.8%,16422,7075,#N/A,65962256,809962,349731,#N/A,0,#N/A,#N/A,#N/A,#N/A
MGMG,MGMG(16:3),C25H42O9,485.275607,[M-H],486.282883,2.04,0.04,119%,15647,#N/A,#N/A,248833,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,921407
Cer,Cer(d17:0_19:0)+O:(s),C36H73N1O4,628.552163,[M+HCOO],583.55396,17.64,0.02,299.7%,15441,0,#N/A,15628551,18019,2032,#N/A,256411,8449,125336,93810,256655
PC,PC(21:1_18:2),C47H88N1O8P1,870.622959,[M+HCOO],825.624756,17.52,0.02,259.9%,14819,58881,1148269,#N/A,0,3997,11234,#N/A,#N/A,78,0,#N/A
PC,PC(14:0_16:1),C38H74N1O8P1,688.492279,[M-CH3]-,703.515206,14.37,0.03,239.2%,14630,#N/A,0,997652,0,0,32385,1249,#N/A,#N/A,#N/A,113459
FA,FA(19:3)+2O:(s),C19H32O4,323.222784,[M-H],324.23006,2.13,0.03,223.1%,14623,#N/A,3757168,#N/A,15717,#N/A,823,600,#N/A,#N/A,278494,#N/A
WE,WE(O-5:0_23:5),C28H46O2,459.347984,[M+HCOO],414.349781,7.97,0.01,190.1%,14522,#N/A,#N/A,0,#N/A,1612006,#N/A,#N/A,#N/A,#N/A,48352,#N/A
OAHFA,OAHFA(23:5_4:0),C27H42O4,475.306513,[M+HCOO],430.30831,5.57,0.04,172.2%,14418,67421,#N/A,20064768,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PS,PS(18:2_24:5),C48H80N1O10P1,860.544709,[M-H],861.551985,15.77,0.05,206.5%,14121,539423,0,#N/A,#N/A,#N/A,#N/A,0,#N/A,21490,#N/A,#N/A
LPC,LPC(20:1),C28H56N1O7P1,594.377643,[M+HCOO],549.37944,6.05,0.05,150%,13827,62607,#N/A,10334,0,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A
