Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14NEG Sum Total Area,Auricularia_Polytricha_OE21-4-F7NEG Sum Total Area,Blastobotrys_Sp_LG1401_ESA_OE21-4-E8F45NEG Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12NEG Sum Total Area,Equisetum_Arvense_OE11-E4-P11NEG Sum Total Area,Ginko_biloba_OE11-3-E4-P27NEG Sum Total Area,Labilithrix_luteola_1B3R5D0E2N Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2N Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1NEG Sum Total Area,Thallasiosira_weissflogii_P42NEG Sum Total Area,Ulva_P56NEG Sum Total Area,Valonia_P52NEG Sum Total Area
SQDG,SQDG(34:0),C43H82O12S1,821.545423,[M-H],822.552699,15.82,0.04,162.1%,21503538,167019,30587,202933,8350406,7912888,57164,#N/A,#N/A,57716,2148337,1906480
DGDG,DGDG(17:2_16:1),C48H84O15,945.579225,[M+HCOO],900.581022,7.85,0.05,143.4%,21040320,#N/A,#N/A,637,5485541,3833503,#N/A,#N/A,#N/A,#N/A,#N/A,0
PE,PE(18:2_18:3),C41H72N1O8P1,736.49228,[M-H],737.499556,10.7,0.03,240.5%,20629898,0,0,0,2279571,787656,#N/A,#N/A,#N/A,0,#N/A,166320
PC,PC(16:0_18:2),C42H80N1O8P1,742.539229,[M-CH3]-,757.562156,13.94,0.03,233.2%,20542520,0,649771,0,972415,733292,#N/A,0,#N/A,#N/A,#N/A,#N/A
MGMG,MGMG(17:3),C26H44O9,545.296736,[M+HCOO],500.298533,1.74,0.15,155%,17544694,0,86859,20791354,1384987,1529192,#N/A,#N/A,#N/A,2456897,194362,#N/A
DGDG,DGDG(16:0_20:3),C51H90O15,987.626175,[M+HCOO],942.627973,15.02,0.02,128.4%,17502496,#N/A,#N/A,#N/A,3617432,17894092,0,#N/A,#N/A,142256,1089747,#N/A
FA,FA(21:0)+COOH:(s),C21H40O4,355.285384,[M-H],356.29266,6.26,0.02,194.4%,14380159,#N/A,#N/A,#N/A,10954216,252929,1040,1056,132850,71015,169984,18477
PC,PC(16:0_18:3),C42H78N1O8P1,740.523579,[M-CH3]-,755.546506,12.01,0.07,204.8%,14157670,0,68483,0,3618608,189611,#N/A,#N/A,0,#N/A,#N/A,#N/A
SQDG,SQDG(32:1),C41H76O12S1,791.498473,[M-H],792.505749,11.06,0.03,67.4%,13202546,#N/A,#N/A,256546,13565985,5902165,#N/A,#N/A,#N/A,7537520,5029346,#N/A
MGDG,MGDG(18:3_16:3),C43H70O10,791.495102,[M+HCOO],746.496899,11.06,0.03,76.9%,11885908,#N/A,#N/A,0,14232300,5867408,#N/A,#N/A,#N/A,#N/A,5029346,#N/A
DGDG,DGDG(16:0_18:1),C49H90O15,963.626175,[M+HCOO],918.627973,15.66,0.02,171.8%,11113264,#N/A,#N/A,0,9352352,4438753,#N/A,#N/A,#N/A,2261367,1282369024,881951936
SQDG,SQDG(17:2_18:4),C44H72O12S1,869.472652,[M+HCOO],824.474449,6.16,0.04,88.9%,10705922,#N/A,#N/A,#N/A,6381683,391837,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PG,PG(18:3_18:3),C42H71O10P1,765.47121,[M-H],766.478486,8.03,0.04,150.1%,9112130,414,4089,#N/A,12150260,1729019,#N/A,#N/A,#N/A,649961,#N/A,0
PG,PG(16:1_18:3),C40H71O10P1,741.47121,[M-H],742.478486,9.39,0.05,240.4%,8902219,157941,0,357738,125571352,10133381,#N/A,#N/A,#N/A,0,0,#N/A
SQDG,SQDG(30:0),C39H74O12S1,765.482823,[M-H],766.490099,10.84,0.1,73.7%,8448287,#N/A,#N/A,119499,2568344,5321644,#N/A,#N/A,#N/A,#N/A,3849195,10229358
PG,PG(18:1_16:1),C40H75O10P1,745.50251,[M-H],746.509786,13.57,0.07,89%,7997905,#N/A,#N/A,#N/A,7683497,7538825,#N/A,2542,#N/A,#N/A,17569346,1306071
SQDG,SQDG(17:2_16:1),C42H74O12S1,847.488302,[M+HCOO],802.490099,6.27,0.04,222.7%,7660960,3170,0,0,1210091,0,#N/A,#N/A,#N/A,#N/A,#N/A,80060
MGDG,MGDG(18:2_18:1),C45H80O10,825.573352,[M+HCOO],780.575149,15.44,0.16,147.5%,7562363,0,#N/A,#N/A,80276,425807,1197,22547,#N/A,2479556,1956201,2498072
cPA,cPA(16:0),C19H37O6P1,391.2255,[M-H],392.232776,4.99,0.03,135.5%,6820323,78178,23116,#N/A,2528925,4775762,#N/A,1111,#N/A,#N/A,124227,#N/A
