Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14POS Sum Total Area,Auricularia_Polytricha_OE21-4-F7POS Sum Total Area,Trichomonascus_vanleenenianus_OE21-4-E8F45POS Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12POS Sum Total Area,Equisetum_Arvense_OE11-E4-P11POS Sum Total Area,Ginkgo_biloba_OE11-3-E4-P27POS Sum Total Area,Labilithrix_luteola_1B3R5D0E2 Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2 Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1POS Sum Total Area,Thalassiosira_weissflogii_P42POS Sum Total Area,Ulva_P56POS_20240924144544 Sum Total Area,Valonia_P52POS_20240924210008 Sum Total Area
LPC,LPC(16:0),C24H50N1O7P1,518.321711,[M+Na],495.33249,2.57,0.03,194.30%,9240260608,871205696,#N/A,734306,1797001728,1060077888,19294,3020,37599,#N/A,#N/A,#N/A
TG,TG(O-13:1_18:3_3:0),C37H64O5,611.464596,[M+Na],588.475375,7.08,0.03,246.70%,5347052544,199825,#N/A,#N/A,142898544,189816000,#N/A,0,52696,333546,#N/A,#N/A
PG,PG(22:5_18:4),C46H73O10P1,834.527961,[M+NH4],816.494136,10.14,0.01,192%,2586811648,0,#N/A,0,0,651996096,#N/A,#N/A,#N/A,#N/A,0,#N/A
MGDG,MGDG(18:3_18:3),C45H74O10,792.562024,[M+NH4],774.528199,9.85,0.02,244.70%,2183363072,#N/A,835192,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,818198
PG,PG(34:2),C40H75O10P1,764.543611,[M+NH4],746.509786,12.46,0.03,243.80%,1665740288,#N/A,144222,#N/A,114783960,119749656,#N/A,0,229857,#N/A,556888,0
PG,PG(26:8_15:2),C47H73O10P1,829.501412,[M+H],828.494136,7.05,0.05,216%,1261579520,116658,160242,0,84954648,406112832,0,#N/A,#N/A,3071129,#N/A,47614
DG,DG(16:1_18:2),C37H66O5,608.524851,[M+NH4],590.491025,15.8,0.03,198.70%,947240512,#N/A,#N/A,#N/A,421336960,16369802,1411542,0,#N/A,96396,904728,2017517
TG,TG(P-13:1_19:1_2:0),C37H66O5,608.524851,[M+NH4],590.491025,15.83,0.02,174.10%,947240512,#N/A,#N/A,#N/A,424106336,183887712,1411542,0,#N/A,2209399,904728,11183
PC,PC(37:7),C45H76N1O8P1,790.538132,[M+H],789.530856,7.11,0.02,304.60%,818387200,0,0,0,0,28045472,#N/A,0,330506,#N/A,2585,0
PI,PI(24:4_18:2),C51H87O13P1,956.622256,[M+NH4],938.58843,10.21,0.04,188.90%,661365312,#N/A,#N/A,3014003,81981384,78152400,#N/A,#N/A,48813,57847,#N/A,#N/A
LPC,LPC(18:3),C26H48N1O7P1,518.324116,[M+H],517.31684,2.44,0.02,227.40%,605821824,13308052,11231715,3794465,133566272,61448416,0,#N/A,6296,368218,#N/A,0
PC,PC(42:12),C50H76N1O8P1,850.538132,[M+H],849.530856,10.62,0.02,127%,471136768,#N/A,90038,#N/A,340655552,476462528,#N/A,#N/A,9391,#N/A,0,0
PG,PG(23:7_16:0),C45H75O10P1,807.517062,[M+H],806.509786,8.52,0.05,246.70%,420147904,0,0,#N/A,7570622,47871756,#N/A,110188,#N/A,0,#N/A,0
PE,PE(16:0_18:2),C39H74N1O8P1,716.522482,[M+H],715.515206,14.48,0.08,242%,413144960,#N/A,#N/A,#N/A,#N/A,2501403,1365511,173611,#N/A,0,220889,#N/A
TG,TG(36:8_18:1),C57H92O6,873.696667,[M+H],872.689391,16.81,0.11,122.70%,323517568,0,#N/A,192435360,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
PC,PC(46:11),C54H86N1O8P1,908.616382,[M+H],907.609106,7.86,0.05,256.80%,254909024,#N/A,35112,3922234,32493710,659519,#N/A,0,#N/A,1917724,357143,69174
PG,PG(26:7_15:2),C47H75O10P1,831.517062,[M+H],830.509786,7.71,0.06,245.20%,207996496,6230203,33967,0,#N/A,22269238,#N/A,12530,#N/A,0,0,#N/A
PI,PI(24:3_18:4),C51H85O13P1,954.606606,[M+NH4],936.57278,9.3,0.03,198.30%,172184752,#N/A,#N/A,850348,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,238176
PEt,PEt(24:7_16:1),C45H73O8P1,773.511583,[M+H],772.504307,11.08,0.08,216.20%,154372496,0,#N/A,0,12041143,5058241,#N/A,#N/A,#N/A,#N/A,#N/A,27665
TG,TG(18:2_18:2_18:4),C57H94O6,875.712317,[M+H],874.705041,16.67,0.04,162.40%,153460816,16319716,119264920,6166247,6279503,286770,#N/A,#N/A,#N/A,#N/A,0,1825246
DGDG,DGDG(18:0_18:3),C51H90O15,960.661798,[M+NH4],942.627973,14.99,0.05,80.70%,119545472,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2557897,51628168,141516240
PE,PE(32:1),C37H72N1O8P1,690.506832,[M+H],689.499556,14.87,0.07,206.80%,116109992,156131040,188134496,6912594432,#N/A,390037344,30090,0,#N/A,1733003904,291507584,#N/A
Hex2Cer,Hex2Cer(d14:1_16:1)+2O:(s),C42H77N1O15,836.536597,[M+H],835.529321,7.55,0.04,232.10%,104202616,#N/A,#N/A,4777401,#N/A,#N/A,#N/A,0,#N/A,0,80309,0
PI,PI(24:3_16:2),C49H85O13P1,930.606606,[M+NH4],912.57278,9.87,0.03,159.90%,93891072,31877,0,#N/A,41578132,34873224,#N/A,5052,#N/A,0,#N/A,103304
TG,TG(18:1_18:3_18:4)+O:(s),C57H94O7,891.707232,[M+H],890.699956,16.08,0.05,219.90%,92905952,167591,#N/A,591348,77262,411595,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PG,PG(18:1_16:0),C40H77O10P1,749.532712,[M+H],748.525436,14.79,0.02,113.50%,78862144,#N/A,#N/A,#N/A,6658569,40061304,#N/A,#N/A,#N/A,#N/A,#N/A,972222
DGDG,DGDG(16:0_18:1),C49H90O15,936.661798,[M+NH4],918.627973,15.66,0.03,102.40%,77575528,#N/A,#N/A,#N/A,55681244,30997466,1270648,#N/A,0,#N/A,#N/A,#N/A
PS,PS(29:7_18:3),C53H84N1O10P1,926.590561,[M+H],925.583285,5.04,0.02,178.50%,75134304,#N/A,#N/A,1427540,5257633,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A
PEt,PEt(24:7_17:3),C46H71O8P1,783.495933,[M+H],782.488657,9.3,0.02,221.10%,72345408,#N/A,#N/A,3229350,297437,2932559,#N/A,0,#N/A,#N/A,0,#N/A
LPC,LPC(P-29:1),C37H74N1O6P1,660.532652,[M+H],659.525376,7.75,0.03,240.30%,69385920,#N/A,#N/A,#N/A,0,5261097,773808,0,#N/A,#N/A,53166,16268
PC,PC(P-19:4_16:2),C43H74N1O7P1,748.527567,[M+H],747.520291,5.4,0.02,153.90%,64891036,#N/A,#N/A,5690631,36210412,212491824,#N/A,#N/A,#N/A,#N/A,580699,0
DG,DG(O-21:6_24:0),C48H84O4,742.670787,[M+NH4],724.636961,19.03,0.01,57.70%,63564300,66995,#N/A,#N/A,60430320,81421456,#N/A,#N/A,69206120,#N/A,#N/A,#N/A
DG,DG(49:13),C52H76O5,798.603101,[M+NH4],780.569276,15.42,0.03,147.90%,56853432,#N/A,#N/A,#N/A,#N/A,12244978,49001,1407350,#N/A,107036608,0,#N/A
MG,MG(P-18:4),C21H34O3,335.258071,[M+H],334.250795,15.81,0.04,139.60%,50696168,#N/A,#N/A,#N/A,20982810,13416884,4442,11880,#N/A,#N/A,#N/A,291748
PI,PI(24:7_16:0),C49H81O13P1,909.548756,[M+H],908.54148,16.99,0.03,159.40%,47068384,#N/A,#N/A,#N/A,1353114,#N/A,#N/A,0,#N/A,976231,10566347,7904942
DG,DG(O-13:1_21:5),C37H62O4,593.454031,[M+Na],570.464811,7.98,0.03,122.60%,44871080,#N/A,#N/A,197710,18948126,25575270,#N/A,#N/A,#N/A,153709,51416,#N/A
TG,TG(9:0_18:1_18:2)+OO:(s),C48H86O8,808.666096,[M+NH4],790.63227,16.69,0.02,197.80%,37284736,0,#N/A,#N/A,#N/A,3943943,4801,26004,#N/A,#N/A,#N/A,#N/A
PE,PE(16:1_16:0),C37H72N1O8P1,690.506832,[M+H],689.499556,15.15,0.05,171%,35119760,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,2591831,1746340
DGDG,DGDG(16:0_18:1),C49H90O15,941.617193,[M+Na],918.627973,15.66,0.03,118.80%,31942572,#N/A,#N/A,#N/A,21415924,5833901,407070,#N/A,0,#N/A,#N/A,#N/A
TG,TG(6:0_16:0_12:1),C37H68O6,626.535416,[M+NH4],608.50159,12.51,0.08,201.20%,30621082,#N/A,1481321,789852,#N/A,5879436,#N/A,0,#N/A,205034,#N/A,97096
BisMePA,BisMePA(14:0_18:2),C37H69O8P1,690.506832,[M+NH4],672.473006,15.59,0.07,192.40%,29224894,32170928,#N/A,87798416,#N/A,468319424,#N/A,0,#N/A,824119,1341170,#N/A
WE,WE(O-41:8),C41H66O2,608.540107,[M+NH4],590.506282,11.24,0.09,80.90%,28753128,#N/A,#N/A,#N/A,#N/A,22822112,#N/A,1529303,#N/A,#N/A,#N/A,#N/A
TG,TG(18:2_18:3_18:3)+O:(s),C57H94O7,908.733781,[M+NH4],890.699956,16.25,0.06,258.60%,28716844,0,0,0,170654,0,400059,#N/A,#N/A,#N/A,#N/A,#N/A
TG,TG(18:0_18:2),C39H70O6,652.551066,[M+NH4],634.51724,12.54,0.03,139.40%,27008942,4043267,#N/A,#N/A,7346206,725458,#N/A,456596,#N/A,#N/A,#N/A,#N/A
PG,PG(16:1_20:3),C42H75O10P1,788.543611,[M+NH4],770.509786,12.48,0.02,230.20%,26666808,#N/A,#N/A,#N/A,523293,117833,#N/A,0,0,#N/A,#N/A,777059
PC,PC(36:3),C44H82N1O8P1,784.585082,[M+H],783.577806,15.2,0.03,279.80%,26082738,#N/A,1.21E+11,#N/A,551463744,581126016,#N/A,10105004,92843,#N/A,188413,0
PC,PC(22:3_16:0),C46H86N1O8P1,812.616382,[M+H],811.609106,16.54,0.15,152.60%,25935938,#N/A,#N/A,#N/A,#N/A,59769712,#N/A,68391,47731,#N/A,#N/A,286162
MGDG,MGDG(18:2_18:2),C45H78O10,801.54872,[M+Na],778.559499,13.16,0.1,155.70%,25420116,#N/A,570774,#N/A,10345132,4213880,#N/A,0,12503,#N/A,1366308,#N/A
DG,DG(O-13:0_21:5),C37H64O4,595.469681,[M+Na],572.480461,8.3,0.02,117%,25290850,64240,#N/A,#N/A,9661595,18663838,#N/A,0,#N/A,1434156,#N/A,#N/A
MePC,MePC(35:8),C44H73N1O8P1,775.514657,[M+H],774.507381,10.91,0.07,174.60%,24523774,42161,#N/A,7153194,#N/A,1605022,#N/A,#N/A,#N/A,#N/A,0,0
DG,DG(16:0_18:3),C37H66O5,591.498301,[M+H],590.491025,11.43,0.06,234.90%,22855522,417937,3440414,290876,#N/A,131846,#N/A,0,9308,#N/A,1131258,297683
PG,PG(16:0_16:1),C38H73O10P1,721.501412,[M+H],720.494136,13.62,0.04,113.70%,22622882,#N/A,#N/A,#N/A,17178038,12245013,#N/A,423504,#N/A,#N/A,113869,0
TG,TG(18:3_16:0)+O:(s),C37H64O7,638.49903,[M+NH4],620.465205,9.19,0.03,140.50%,21925682,207762,#N/A,#N/A,35854748,8059319,#N/A,0,0,0,40809080,24967
PEt,PEt(24:7_16:0),C45H75O8P1,775.527233,[M+H],774.519957,13.84,0.04,143.70%,21652292,793635,#N/A,29137562,#N/A,1069726,#N/A,0,#N/A,4799271,813946,#N/A
PG,PG(P-23:7_16:2),C45H71O9P1,787.490847,[M+H],786.483571,6.66,0.07,197.40%,21054336,22111,17978,157867,#N/A,#N/A,#N/A,#N/A,#N/A,270153,5611295,551071
DG,DG(15:0_18:1)+D7:(s),C36H68O5,610.539833,[M7D+Na],587.550613,16.41,0.04,113.90%,20814708,#N/A,#N/A,2292760,30265234,2047068,754334,#N/A,31751892,6670772,#N/A,459429
TG,TG(15:0_18:3),C36H62O6,613.443861,[M+Na],590.45464,7.25,0.02,251.20%,19472990,#N/A,553517,0,#N/A,#N/A,#N/A,0,#N/A,0,301330,36044
PC,PC(O-47:8),C55H96N1O7P1,914.699718,[M+H],913.692442,16.8,0.07,222.80%,19459380,#N/A,#N/A,14268,360860,90444,#N/A,#N/A,#N/A,469387,656098,#N/A
DGDG,DGDG(18:0_18:2),C51H92O15,962.677448,[M+NH4],944.643623,15.93,0.03,129%,19280272,#N/A,0,0,5206381,6577892,4270561,#N/A,48972,4224353,23160034,987469
DG,DG(6:0_10:0),C19H36O5,367.245495,[M+Na],344.256274,1.69,0.03,196.10%,18270324,#N/A,#N/A,#N/A,40923364,#N/A,6501,84134,95739,488381,615984,192324
LPC,LPC(16:2),C24H46N1O7P1,492.308466,[M+H],491.30119,2.33,0.04,118.80%,17648674,#N/A,#N/A,0,3036731,11740659,#N/A,#N/A,#N/A,400878,#N/A,#N/A
DG,DG(6:0_27:6),C36H58O5,571.435701,[M+H],570.428425,8.67,0.05,177.40%,17623430,359,#N/A,53410040,38736672,322601,0,16304,0,#N/A,164807,25629
Hex1Cer,Hex1Cer(d39:5)+O:(s),C45H79N1O9,800.564704,[M+Na],777.575483,10.86,0.03,218.80%,16631530,#N/A,#N/A,0,0,117025,#N/A,#N/A,#N/A,172160,#N/A,#N/A
PC,PC(19:3),C27H48N1O8P1,546.319031,[M+H],545.311755,1.66,0.02,206%,16230881,62009652,8121,1041861,#N/A,4570101,0,0,#N/A,0,146462224,83761
MGDG,MGDG(18:1_18:3),C45H78O10,796.593325,[M+NH4],778.559499,13.19,0.04,148.90%,15210789,153373,6348871,#N/A,1287491,1297039,#N/A,0,#N/A,#N/A,1578554,#N/A
PC,PC(O-44:14),C52H78N1O7P1,860.558867,[M+H],859.551591,5.76,0.03,156%,14389715,14963242,998801,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,900256,83651
PEt,PEt(24:7_18:3),C47H73O8P1,797.511583,[M+H],796.504307,9.62,0.03,163.20%,13984162,#N/A,158954,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,404064,#N/A
PE,PE(16:1_16:1),C37H70N1O8P1,688.491181,[M+H],687.483905,13.28,0.1,138.50%,13333798,60501640,111025104,42032908,315373760,28892648,0,0,#N/A,313409792,48929556,3388651
LPE,LPE(18:3),C23H42N1O7P1,476.277166,[M+H],475.26989,1.73,0.03,190.80%,13316939,25319146,34715200,88708816,476995,425432,0,0,10211,0,2545615,0
DGDG,DGDG(16:0_16:0),C47H88O15,915.601543,[M+Na],892.612323,15.69,0.03,73.60%,13008370,#N/A,#N/A,#N/A,10363399,16993168,1932279,#N/A,#N/A,530356,6319485,6894283
TG,TG(P-23:6_24:6),C50H72O5,753.545252,[M+H],752.537976,17.73,0.04,121.50%,12875683,0,0,#N/A,13471059,#N/A,#N/A,674276,14422109,0,#N/A,#N/A
PS,PS(18:3_18:2),C42H72N1O10P1,782.496661,[M+H],781.489385,8.19,0.04,207.90%,12760286,30165380,1935201,189735488,#N/A,#N/A,#N/A,0,#N/A,172608,144240,#N/A
PG,PG(18:1_18:1),C42H79O10P1,792.574912,[M+NH4],774.541086,15.46,0.03,172%,12370814,15429,#N/A,#N/A,59223,1584346,#N/A,#N/A,#N/A,2781923,0,#N/A
PEt,PEt(O-5:0_23:0),C33H67O7P1,613.477897,[M+Li],606.462442,15.97,0.03,104.10%,11867368,#N/A,3569541,#N/A,7572341,#N/A,#N/A,#N/A,31567,5123175,0,1278741
PC,PC(17:2_16:0),C41H78N1O8P1,744.553782,[M+H],743.546506,14.27,0.05,261.30%,11558006,#N/A,3139127040,736535,38197,#N/A,#N/A,123141,#N/A,#N/A,13959722,7187238
BisMePA,BisMePA(36:3),C41H75O8P1,744.553782,[M+NH4],726.519957,14.27,0.05,296.30%,11558006,#N/A,3139127040,1691489,672321,0,#N/A,99495,#N/A,0,13959722,7187238
PI,PI(16:0_16:0),C41H79O13P1,833.515051,[M+Na],810.52583,8.63,0.06,158.90%,11502280,20758,#N/A,2483636,0,366354,#N/A,#N/A,#N/A,63201,7267241,145107
PG,PG(23:6_18:3),C47H75O10P1,831.517062,[M+H],830.509786,7.48,0.08,223.60%,11186895,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,0,0,0
PC,PC(36:2),C44H84N1O8P1,786.600732,[M+H],785.593456,16.38,0.05,276.30%,11011940,1624826496,79289049088,#N/A,#N/A,#N/A,69802,152181,59239,0,25574920,#N/A
PEt,PEt(24:7_18:2),C47H75O8P1,799.527233,[M+H],798.519957,11.81,0.03,195.40%,10562275,0,#N/A,#N/A,337876,#N/A,#N/A,0,8746,4616947,0,133444
PG,PG(18:2_18:2),C42H75O10P1,788.543611,[M+NH4],770.509786,12.59,0.07,168.90%,10031995,#N/A,#N/A,#N/A,463096,140773,#N/A,42468,#N/A,4229857,0,657547
PG,PG(O-5:0_22:0),C33H67O9P1,656.486097,[M+NH4],638.452271,10.71,0.03,209.60%,10001384,0,377990,1308935,0,20754710,5801,#N/A,8150,292454,40838,#N/A
PC,PC(17:1_18:1),C43H82N1O8P1,772.585082,[M+H],771.577806,15.78,0.04,277.60%,9376413,166513120,21519589376,6049813,#N/A,26247438,#N/A,51515,#N/A,138681392,#N/A,7056902
PE,PE(18:2),C23H42N1O8P1,492.272081,[M+H],491.264805,1.73,0.03,212.10%,9334346,20382802,16106189,101012976,99162,108346,#N/A,0,#N/A,0,349338,0
PI,PI(21:3_18:3),C48H81O13P1,897.548756,[M+H],896.54148,7.46,0.05,179%,9145827,#N/A,#N/A,2561588,#N/A,0,#N/A,111604,#N/A,#N/A,314577,17106
DG,DG(O-25:4_18:2),C46H80O4,714.639487,[M+NH4],696.605661,19.07,0.01,103.70%,8795123,#N/A,#N/A,#N/A,8535220,11897971,0,0,8502187,#N/A,826181,220630
DG,DG(18:2_18:1),C39H70O5,619.529602,[M+H],618.522326,17.5,0.06,210.30%,8663212,#N/A,#N/A,39195876,143370,1359923,0,#N/A,#N/A,35170,83588,2077643
DG,DG(O-20:3_18:3),C41H70O4,644.561237,[M+NH4],626.527411,16.78,0.03,231.90%,8497426,282486,#N/A,#N/A,125108,611419,7950,0,#N/A,#N/A,0,#N/A
DGDG,DGDG(18:1_18:1),C51H92O15,962.677448,[M+NH4],944.643623,15.82,0.06,169.90%,8084896,#N/A,#N/A,#N/A,1543179,0,1181096,#N/A,#N/A,1714264,5062959,37631540
DG,DG(P-18:4_16:0),C37H64O4,573.487737,[M+H],572.480461,9.2,0.05,201.10%,8048086,2669042,59235092,#N/A,#N/A,4840627,#N/A,161694,#N/A,#N/A,185257,28221
PEt,PEt(24:7_18:1),C47H77O8P1,801.542883,[M+H],800.535607,12.82,0.1,197.70%,7929264,#N/A,0,946381,#N/A,#N/A,#N/A,#N/A,#N/A,0,634445,0
PC,PC(O-37:9),C45H74N1O7P1,772.527567,[M+H],771.520291,19.68,0.03,56.50%,7717740,#N/A,#N/A,#N/A,7518031,8971117,#N/A,9960,8538989,#N/A,#N/A,#N/A
SM,SM(d39:0),C44H91N2O6P1,775.668752,[M+H],774.661476,17.69,0.05,39.40%,7697712,#N/A,#N/A,#N/A,8362558,3488635,#N/A,#N/A,10582528,#N/A,#N/A,#N/A
WE,WE(O-19:0_17:0),C36H72O2,559.542452,[M+Na],536.553232,16.67,0.03,114.90%,7512604,#N/A,#N/A,#N/A,12238060,24501792,#N/A,0,26973,#N/A,#N/A,#N/A
PC,PC(31:1),C39H76N1O8P1,718.538132,[M+H],717.530856,16.44,0.05,159.70%,7386486,822197504,1022464704,23349806,124969968,#N/A,0,0,1563469,746861120,9250410,880199
PG,PG(P-15:2_12:0),C33H61O9P1,650.439146,[M+NH4],632.405321,5.25,0.04,197.30%,6707039,12141117,75516072,#N/A,13262985,874365,0,8818,#N/A,2124170,74386,#N/A
PI,PI(16:0_19:1),C44H83O13P1,868.590956,[M+NH4],850.55713,15.59,0,45.80%,6674320,#N/A,#N/A,#N/A,#N/A,3406192,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BisMePE,BisMePE(32:3),C39H72N1O8P1,714.506832,[M+H],713.499556,13.7,0.02,194.20%,6649689,828022848,289641152,#N/A,#N/A,#N/A,0,201274,#N/A,#N/A,3844988,0
DG,DG(20:5_26:5),C49H76O5,767.558497,[M+Na],744.569276,15.02,0.08,97.90%,6591265,621855,6656392,4995054,1864987,#N/A,#N/A,0,#N/A,#N/A,#N/A,451162
MGDG,MGDG(19:4_20:4),C48H76O10,830.577675,[M+NH4],812.543849,12.79,0.04,159.90%,6381913,0,441661,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,712933
PI,PI(16:1_19:1),C44H81O13P1,866.575306,[M+NH4],848.54148,12.78,0.04,199.20%,6263804,0,5055,#N/A,#N/A,112152,#N/A,#N/A,31320170,#N/A,#N/A,0
PA,PA(18:3_16:0),C37H67O8P1,688.491182,[M+NH4],670.457356,11.71,0.05,165.90%,6199813,187769,322793,6591465,#N/A,517088,#N/A,9458,#N/A,#N/A,71904,0
DG,DG(6:0_27:6),C36H58O5,588.462251,[M+NH4],570.428425,8.66,0.05,293.60%,6149219,48105,#N/A,2758680,165934464,763690,0,0,0,#N/A,1696571,125166
LPS,LPS(18:1),C24H46N1O9P1,524.298295,[M+H],523.291019,2.42,0.03,140.90%,6116937,#N/A,0,0,2810577,1394145,#N/A,12220,#N/A,#N/A,#N/A,#N/A
TG,TG(O-7:0_6:0_18:3),C34H60O5,571.433296,[M+Na],548.444075,8.06,0.03,264%,5763500,118777,30519,#N/A,#N/A,#N/A,0,26876,#N/A,0,183197,249
DG,DG(P-13:1_18:2),C34H60O4,555.438381,[M+Na],532.449161,7.85,0.04,272.50%,5712869,53263,3177,0,96007040,2619010,#N/A,2711,#N/A,297678,#N/A,10576
PG,PG(18:1_18:1),C42H79O10P1,792.574912,[M+NH4],774.541086,15.16,0.04,218.90%,5569099,8519535,#N/A,151981,271933,710310,#N/A,0,#N/A,61273708,622312,#N/A
TG,TG(O-43:12_18:2),C64H98O5,964.775252,[M+NH4],946.741427,16.08,0.05,134.90%,5501338,#N/A,#N/A,29960834,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PC,PC(18:1_18:1),C44H84N1O8P1,786.600732,[M+H],785.593456,17.34,0.03,131.30%,5487375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50129,#N/A,26900182,#N/A,#N/A
PC,PC(36:5),C44H78N1O8P1,780.553782,[M+H],779.546506,12.71,0.1,169.70%,5310040,5835028,24795428,382189,4028403,#N/A,#N/A,293404,0,0,0,3733950
TG,TG(21:2_18:1_18:1),C60H108O6,942.848417,[M+NH4],924.814592,19.22,0.01,25.30%,5273141,#N/A,#N/A,#N/A,4445515,7808672,#N/A,#N/A,5400588,#N/A,#N/A,#N/A
PA,PA(P-20:6_16:0),C39H65O7P1,694.480617,[M+NH4],676.446792,6.18,0.06,111.80%,5253714,#N/A,#N/A,0,#N/A,7496708,#N/A,#N/A,#N/A,0,6733086,0
PI,PI(35:2),C44H81O13P1,866.575306,[M+NH4],848.54148,13.18,0.09,188.60%,5250403,1329683,0,0,#N/A,#N/A,#N/A,0,1139383,0,0,#N/A
PI,PI(35:1),C44H83O13P1,868.590956,[M+NH4],850.55713,14.72,0.03,185.30%,5123876,0,290103,#N/A,#N/A,#N/A,13498,#N/A,#N/A,#N/A,#N/A,#N/A
PS,PS(33:3),C39H70N1O10P1,744.481011,[M+H],743.473735,8.17,0.08,140.90%,5029318,3906201,16249780,1707472,4305809,1223593,#N/A,0,#N/A,25043,204502,#N/A
DG,DG(6:0_30:6),C39H64O5,613.482651,[M+H],612.475375,12.46,0.04,260%,4962266,#N/A,15447899,1502981248,#N/A,310644,#N/A,0,#N/A,#N/A,116323,1922627
PC,PC(37:2),C45H86N1O8P1,800.616382,[M+H],799.609106,17.06,0.02,119.70%,4927810,#N/A,#N/A,8230847,485853,849066,355985,14336,796733,12509488,14453972,#N/A
TG,TG(20:0_18:2)+O:(s),C41H74O7,696.577281,[M+NH4],678.543455,15.35,0.06,175.40%,4807249,#N/A,#N/A,508967,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
PC,PC(19:1_18:1),C45H86N1O8P1,800.616382,[M+H],799.609106,17.1,0.07,132.50%,4788782,#N/A,#N/A,4864450,485853,50501,123746,79813,66808,3966336,#N/A,431601
TG,TG(22:5_4:0)+OO:(s),C29H44O8,538.337444,[M+NH4],520.303619,1.69,0.04,151.30%,4719809,10958782,17239310,69300968,1952638,13730819,43303,#N/A,0,29433,47299820,256718
PS,PS(23:6_16:0),C45H76N1O10P1,822.527961,[M+H],821.520685,19.42,0.02,57.50%,4702557,#N/A,#N/A,#N/A,3986187,4140643,#N/A,#N/A,5218545,#N/A,0,#N/A
PEt,PEt(O-7:0_21:1),C33H65O7P1,611.462247,[M+Li],604.446792,15.83,0.04,173.20%,4692829,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,0,#N/A
Hex1Cer,Hex1Cer(d18:2_24:0),C48H91N1O8,810.681745,[M+H],809.674469,17.1,0.03,159.60%,4623611,0,#N/A,406485,2316077,#N/A,0,4308,19342,0,165354,2516773
LPC,LPC(P-16:0),C24H50N1O6P1,480.344852,[M+H],479.337576,3.04,0.05,205.90%,4607419,1297142,0,23591036,#N/A,#N/A,0,60476,#N/A,#N/A,#N/A,28479
DG,DG(O-18:4_18:2),C39H66O4,599.503387,[M+H],598.496111,13.5,0.06,195.40%,4411723,2056664832,247100080,4657477120,54562896,4666455,0,#N/A,#N/A,280466432,25180,#N/A
TG,TG(21:1_4:0_16:1)+OO:(s),C44H80O8,759.574541,[M+Na],736.58532,17.35,0.02,125%,4256220,969772,444928,#N/A,#N/A,#N/A,46324,0,#N/A,1547212,1791354,110996
MG,MG(P-15:2),C18H32O3,314.268971,[M+NH4],296.235145,2,0.03,136.70%,4219785,#N/A,#N/A,1784333,58295,612733,3107373,113903,52228,246417,#N/A,59675
MGDG,MGDG(18:1_18:2),C45H80O10,803.56437,[M+Na],780.575149,15,0.02,192.30%,3938048,0,#N/A,#N/A,#N/A,#N/A,#N/A,95072,22348,#N/A,#N/A,#N/A
TG,TG(65:19),C68H94O6,1024.738867,[M+NH4],1006.705041,16.56,0.08,105.70%,3876704,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2700749,#N/A,#N/A,5466,413300
TG,TG(9:0_18:2_18:3)+OO:(s),C48H82O8,804.634795,[M+NH4],786.60097,16.16,0.09,213.90%,3795362,#N/A,0,476975,29476882,1612063,#N/A,0,#N/A,133302,#N/A,#N/A
PC,PC(33:1),C41H80N1O8P1,746.569432,[M+H],745.562156,15.51,0.12,260.70%,3702162,#N/A,1093026944,#N/A,#N/A,291417,#N/A,235777,#N/A,0,2490517,7133530
PC,PC(17:0_16:1),C41H80N1O8P1,746.569432,[M+H],745.562156,15.51,0.13,262.50%,3702162,#N/A,1304100480,#N/A,#N/A,291417,#N/A,235777,#N/A,0,2490517,2264437
PC,PC(O-35:7),C43H74N1O7P1,748.527567,[M+H],747.520291,4.4,0.03,185%,3558374,#N/A,#N/A,#N/A,21774,213440,#N/A,0,#N/A,#N/A,349734,#N/A
TG,TG(27:2_18:4)+OO:(s),C48H80O8,802.619145,[M+NH4],784.58532,16,0.06,198.30%,3529822,5727879,32401334,112741760,2012281,#N/A,#N/A,116408,0,1225577,#N/A,#N/A
