Observed,Predicted
0.0,0.08031104464492955
-0.478300633248959,-0.47781672426180677
-0.9980871186175908,-0.9953944528908494
-0.4018733009806762,-0.3870146249742703
-0.22366060940317808,-0.19578018301690037
-0.5756951814906817,-0.6096718238560612
0.7547311713619818,0.7034022215196742
0.018879743695620017,0.08031104464492955
0.14468332228921918,0.08031104464492955
1.2709738340574825,1.2502666243419966
1.3192686606629789,1.2596697253452547
1.214934109369939,1.1956069933778508
1.1314183760262557,1.233353431889924
1.2378851828172126,1.277507205829501
1.264143893194768,1.4653939008697705
0.31899587891948794,0.2884546962265446
0.4724109065682472,0.2884546962265446
0.2932045041105358,0.2884546962265446
-0.8479296625625292,-0.785037510890163
-0.8177884532399932,-0.785037510890163
0.360080503942497,0.13198935495348252
1.3256351678479605,1.5246812513760943
1.2827170159844594,1.304528308484393
-0.020810510244927992,0.21259628110299644
0.33648576656863766,0.21259628110299644
0.3198899299077344,0.21259628110299644
-1.1781317629134724,-1.169033425548207
-1.0458021856280395,-1.169033425548207
0.0982782718873049,0.45372501046857394
2.380777360694892,1.9869237690708559
-1.0411583618513478,-1.0411583618513873
